position#number#name#height#weight#class#hometown#games↑
qb#5#mike hartline#6'6#205#so#canton , ohio#6
tb#20#derrick locke#5'10#190#so#hugo , oklahoma#1
fb#38#john conner#5'11#230#jr#west chester , ohio#6
wr#12#randall cobb#5'11#185#fr#alcoa , tennessee#4
wr#22#aaron boyd#6'3#210#fr#lexington , kentucky#0
te#80#tc drake#6'6#242#jr#bardstown , kentucky#5
lt#79#garry williams#6'3#300#sr#louisville , kentucky#4
lg#72#zipp duncan#6'5#295#jr#magnolia , kentucky#6
c#61#jorge gonzález#6'3#303#jr#tampa bay , florida#6
rg#73#jess beets#6'2#293#sr#dove canyon , california#6
rt#72#brad durham#6'4#310#so#mount vernon , kentucky#1
