country#currency#1 euro =#1 usd =#central bank
argentina#argentine peso (ars)#5.65#4.20#central bank of argentina
bolivia#bolivian boliviano (bob)#11.0985#7.57080#central bank of bolivia
brazil#brazilian real (brl)#2.58963#1.76650#central bank of brazil
chile#chilean peso (clp)#701.020#507.580#central bank of chile
colombia#colombian peso (cop)#2593.20#1885.74#bank of the republic
ecuador#us dollar (usd)#1.46611#1#federal reserve
guyana#guyanese dollar (gyd)#297.547#202.950#bank of guyana
paraguay#paraguayan guaraní (pyg)#6802.74#4640.00#central bank of paraguay
peru#peruvian nuevo sol (pen)#4.26966#2.72440#central reserve bank of peru
suriname#surinamese dollar (srd)#4.10543#2.80000#central bank of suriname
uruguay#uruguayan peso (uyu)#31.1529#21.2470#central bank of uruguay
venezuela#venezuelan bolívar fuerte (vef)#6.16331#4.30000#central bank of venezuela
