year#championship#54 holes#winning score#margin#runner (s) - up
1997#masters tournament#9 shot lead#18 (70 + 66 + 65 + 69 = 270)#12 strokes#tom kite
1999#pga championship#tied for lead#11 (70 + 67 + 68 + 72 = 277)#1 stroke#sergio garcía
2000#us open#10 shot lead#12 (65 + 69 + 71 + 67 = 272)#15 strokes#ernie els , miguel ángel jiménez
2000#the open championship#6 shot lead#19 (67 + 66 + 67 + 69 = 269)#8 strokes#thomas bjørn , ernie els
2000#pga championship (2)#1 shot lead#18 (66 + 67 + 70 + 67 = 270)#playoff 1#bob may
2001#masters tournament (2)#1 shot lead#16 (70 + 66 + 68 + 68 = 272)#2 strokes#david duval
2002#masters tournament (3)#tied for lead#12 (70 + 69 + 66 + 71 = 276)#3 strokes#retief goosen
2002#us open (2)#4 shot lead#3 (67 + 68 + 70 + 72 = 277)#3 strokes#phil mickelson
2005#masters tournament (4)#3 shot lead#12 (74 + 66 + 65 + 71 = 276)#playoff 2#chris dimarco
2005#the open championship (2)#2 shot lead#14 (66 + 67 + 71 + 70 = 274)#5 strokes#colin montgomerie
2006#the open championship (3)#1 shot lead#18 (67 + 65 + 71 + 67 = 270)#2 strokes#chris dimarco
2006#pga championship (3)#tied for lead#18 (69 + 68 + 65 + 68 = 270)#5 strokes#shaun micheel
2007#pga championship (4)#3 shot lead#8 (71 + 63 + 69 + 69 = 272)#2 strokes#woody austin
2008#us open (3)#1 shot lead#1 (72 + 68 + 70 + 73 = 283)#playoff 3#rocco mediate
