player#games#goals#first games#last games
mike havenaar#9#3#2011.09.02#2012.10.12
hiroshi kiyotake#12#1#2011.08.10#2012.11.14
masahiko inoha#16#1#2011.01.17#2012.09.11
maya yoshida#22#2#2010.01.06#2012.11.14
hajime hosogai#18#1#2009.10.08#2012.11.14
shinji okazaki#58#29#2008.10.09#2012.11.14
keisuke honda#40#12#2008.06.22#2012.11.14
yuto nagatomo#54#3#2008.05.24#2012.11.14
eiji kawashima#39#0#2008.02.17#2012.11.14
ryoichi maeda#24#10#2007.08.22#2012.11.14
makoto hasebe#63#2#2006.02.10#2012.11.14
yuichi komano#72#1#2005.08.03#2012.09.11
yasuhito endo#124#10#2002.11.20#2012.11.14
gotoku sakai#2#0#2012.09.06#2012.11.14
hideto takahashi#4#0#2012.05.23#2012.11.14
hiroki sakai#7#0#2012.05.23#2012.11.14
shinji kagawa#37#12#2008.05.24#2012.10.16
hiroki mizumoto#5#0#2006.10.04#2012.09.06
kengo nakamura#63#6#2006.10.04#2012.10.16
tomoaki makino#11#1#2010.01.06#2012.08.15
jungo fujimoto#13#1#2007.03.24#2012.08.15
atsuto uchida#52#1#2008.01.26#2012.10.16
yuzo kurihara#13#2#2006.08.09#2012.10.16
yasuyuki konno#63#1#2005.08.03#2012.11.14
ryo miyaichi#2#0#2012.05.23#2012.10.16
takayuki morimoto#10#3#2009.10.10#2012.05.23
tadanari lee#11#2#2011.01.09#2012.02.29
takashi inui#6#0#2009.01.20#2012.10.14
naoya kondo#1#0#2012.02.24#2012.02.24
junya tanaka#1#0#2012.02.24#2012.02.24
chikashi masuda#1#0#2012.02.24#2012.02.24
ryota moriwaki#2#0#2011.06.01#2012.02.24
yosuke kashiwagi#4#0#2010.01.06#2012.02.24
shusaku nishikawa#8#0#2009.10.08#2012.02.24
naohiro ishikawa#6#0#2003.12.07#2012.02.24
yoshito okubo#54#5#2003.05.31#2012.02.24
genki haraguchi#1#0#2011.10.07#2011.10.07
yuki abe#53#3#2005.01.29#2011.10.07
akihiro ienaga#3#0#2007.03.24#2011.08.10
kunimitsu sekiguchi#3#0#2010.10.08#2011.06.07
daigo nishi#1#0#2011.06.01#2011.06.01
shinzo koroki#12#0#2008.10.09#2011.06.01
michihiro yasuda#7#1#2008.02.17#2011.06.01
daiki iwamasa#8#0#2009.10.10#2011.01.29
takuya honda#2#0#2011.01.17#2011.01.25
mitsuru nagata#2#0#2010.09.07#2011.01.21
daisuke matsui#31#1#2003.06.22#2011.01.13
mu kanazaki#5#0#2009.01.20#2010.10.12
hideo hashimoto#15#0#2007.06.01#2010.09.07
seigo narazaki#77#0#1998.02.15#2010.09.07
yuji nakazawa#110#17#1999.09.08#2010.09.04
marcus tulio tanaka#43#8#2006.08.09#2010.06.29
keiji tamada#72#16#2004.03.31#2010.06.29
junichi inamoto#82#5#2000.02.05#2010.06.24
