heat#lane#name#nationality#time
7#4#inge de bruijn#netherlands#54.77
5#5#dara torres#united states#55.12
6#4#jenny thompson#united states#55.22
6#5#martina moravcová#slovakia#55.42
7#2#helene muller#south africa#55.45
7#5#therese alshammar#sweden#55.49
5#3#sandra völker#germany#55.54
6#3#sue rolph#great britain#55.77
5#2#sumika minamoto#japan#55.80
7#6#wilma van rijn#netherlands#55.82
6#2#louise jöhncke#sweden#55.91
6#6#sarah ryan#australia#56.05
5#6#karen pickering#great britain#56.08
7#7#laura nicholls#canada#56.30
4#1#rania elwani#egypt#56.31
5#7#alena popchanka#belarus#56.33
4#3#hanna - maria seppälä#finland#56.68
3#6#olga mukomol#ukraine#56.69
7#8#han xue#china#56.79
6#7#yekaterina kibalo#russia#56.97
4#4#cristina chiuso#italy#57.09
6#1#joscelin yeo#singapore#57.15
4#2#florencia szigeti#argentina#57.20
2#6#leah martindale#barbados#57.21
5#1#antonia machaira#greece#57.24
6#8#ilona hlaváčková#czech republic#57.37
5#8#judith draxler#austria#57.40
3#4#kirsty coventry#zimbabwe#57.47
2#4#elina partõka#estonia#57.71
3#5#gyöngyver lakos#hungary#57.71
7#3#susie o'neill#australia#57.78
4#8#eileen coparropa#panama#57.82
4#6#monique robins#new zealand#57.85
2#2#siobhan cropper#trinidad and tobago#57.91
4#5#tine bossuyt#belgium#58.02
2#1#lára hrund bjargardóttir#iceland#58.44
3#2#lara heinz#luxembourg#58.55
2#7#caroline pickering#fiji#58.62
3#8#pilin tachakittiranan#thailand#58.69
4#7#chang hee - jin#south korea#58.77
3#1#jūratė ladavičiūtė#lithuania#58.78
3#3#chantal gibney#ireland#58.79
2#8#yekaterina tochenaya#kyrgyzstan#58.80
2#3#anna stylianou#cyprus#59.08
2#5#agnese ozoliņa#latvia#59.28
3#7#tsai shu - min#chinese taipei#59.39
1#8#nicole hayes#palau#1:00.89
1#5#rola el haress#lebanon#1:03.26
1#2#maria awori#kenya#1:06.23
1#3#nathalie lee baw#mauritius#1:06.67
1#7#zeïna sahelí#senegal#1:07.37
1#4#supra singhal#uganda#1:08.15
1#6#sanjaajamtsyn altantuyaa#mongolia#1:10.22
1#1#katerina izmaylova#tajikistan#1:19.12
5#4#antje buschschulte#germany#dns
7#1#marianne limpert#canada#dns
