name#height#weight#spike#2008 club
jelena nikolić#m#-#cm (in)#takefuji bamboo
jovana brakočević#m#-#cm (in)#spess volley conegliano
ivana đerisilo#m#-#cm (in)#voléro zürich
nataša krsmanović#m#-#cm (in)#voléro zürich
brižitka molnar#m#-#cm (in)#metal galati
jovana vesović#m#-#cm (in)#jedinstvo užice
maja ognjenović#m#-#cm (in)#metal galati
vesna čitaković#m#-#cm (in)#eczacıbaşı istanbul
maja simanić#m#-#cm (in)#zok rijeka
sanja malagurski#m#-#cm (in)#hit nova gorica
stefana veljković#m#-#cm (in)#poštar 064 beograd
suzana ćebić#m#-#cm (in)#jedinstvo užice
