rank#name#nation#placings#figures#free#total
1#ája vrzáňová#czechoslovakia#12#790.65#568.51#1359.16
2#jeannette altwegg#united kingdom#18#789.71#556.00#1345.71
3#yvonne sherman#united states#23#782.48#548.10#1330.58
4#suzanne morrow#canada#24#766.38#553.35#1319.73
5#sonya klopfer#united states#37#734.18#560.93#1295.11
6#jacqueline du bief#france#36#741.53#560.93#1302.46
7#virginia baxter#united states#54#715.28#552.41#1267.69
8#jiřína nekolová#czechoslovakia#62#755.18#491.98#1247.16
9#marlene smith#canada#64#719.60#537.83#1257.43
10#barbara watt#united kingdom#69#725.78#514.03#139.81
11#andra mclauchlin#united states#74#707.70#525.11#1232.81
12#dagmar lerchova#czechoslovakia#83#714.93#499.56#1214.49
13#valda osborn#united kingdom#85#704.78#496.18#1200.96
14#beryl bailey#united kingdom#94#689.15#501.31#1190.46
