outcome#year#championship#surface#partner#opponents#score
winner#1975#french open#clay#chris evert#julie anthony olga morozova#6 - 3 , 6 - 2
winner#1976#wimbledon#grass#chris evert#billie jean king betty stöve#6 - 1 , 3 - 6 , 7 - 5
runner - up#1977#wimbledon#grass#betty stöve#helen gourlay joanne russell#6 - 3 , 6 - 3
winner#1977#us open#clay#betty stöve#renee richards betty ann grubb stuart#6 - 1 , 7 - 6
winner#1978#us open (2)#hard#billie jean king#kerry reid wendy turnbull#7 - 6 , 6 - 4
winner#1979#wimbledon (2)#grass#billie jean king#betty stöve wendy turnbull#5 - 7 , 6 - 3 , 6 - 2
runner - up#1979#us open#hard#billie jean king#betty stöve wendy turnbull#7 - 5 , 6 - 3
winner#1980#us open (3)#hard#billie jean king#pam shriver betty stöve#7 - 6 , 7 - 5
winner#1980#australian open#grass#betsy nagelsen#ann kiyomura candy reynolds#6 - 4 , 6 - 4
winner#1981#wimbledon (3)#grass#pam shriver#kathy jordan anne smith#6 - 3 , 7 - 6 (8 - 6)
runner - up#1981#australian open#grass#pam shriver#kathy jordan anne smith#6 - 2 , 7 - 5
winner#1982#french open (2)#clay#anne smith#rosemary casals wendy turnbull#6 - 3 , 6 - 4
winner#1982#wimbledon (4)#grass#pam shriver#kathy jordan anne smith#6 - 4 , 6 - 1
winner#1982#australian open (2)#grass#pam shriver#claudia kohde - kilsch eva pfaff#6 - 4 , 6 - 2
winner#1983#wimbledon (5)#grass#pam shriver#rosemary casals wendy turnbull#6 - 2 , 6 - 2
winner#1983#us open (4)#hard#pam shriver#rosalyn fairbank candy reynolds#6 - 7 (4 - 7) , 6 - 1 , 6 - 3
winner#1983#australian open (3)#grass#pam shriver#anne hobbs wendy turnbull#6 - 4 , 6 - 7 , 6 - 2
winner#1984#french open (3)#clay#pam shriver#claudia kohde - kilsch hana mandlíková#5 - 7 , 6 - 3 , 6 - 2
winner#1984#wimbledon (6)#grass#pam shriver#kathy jordan anne smith#6 - 3 , 6 - 4
winner#1984#us open (5)#hard#pam shriver#anne hobbs wendy turnbull#6 - 2 , 6 - 4
winner#1984#australian open (4)#grass#pam shriver#claudia kohde - kilsch helena suková#6 - 3 , 6 - 4
winner#1985#french open (4)#clay#pam shriver#claudia kohde - kilsch helena suková#4 - 6 , 6 - 2 , 6 - 2
runner - up#1985#wimbledon#grass#pam shriver#kathy jordan elizabeth smylie#5 - 7 , 6 - 3 , 6 - 4
runner - up#1985#us open#hard#pam shriver#claudia kohde - kilsch helena suková#6 - 7 , 6 - 2 , 6 - 3
winner#1985#australian open (5)#grass#pam shriver#claudia kohde - kilsch helena suková#6 - 3 , 6 - 4
winner#1986#french open (5)#clay#andrea temesvári#steffi graf gabriela sabatini#6 - 1 , 6 - 2
winner#1986#wimbledon (7)#grass#pam shriver#hana mandlíková wendy turnbull#6 - 1 , 6 - 3
winner#1986#us open (6)#hard#pam shriver#hana mandlíková wendy turnbull#6 - 4 , 3 - 6 , 6 - 3
winner#1987#australian open (6)#grass#pam shriver#zina garrison lori mcneil#6 - 1 , 6 - 0
winner#1987#french open (6)#clay#pam shriver#steffi graf gabriela sabatini#6 - 2 , 6 - 1
winner#1987#us open (7)#hard#pam shriver#kathy jordan elizabeth smylie#5 - 7 , 6 - 4 , 6 - 2
winner#1988#australian open (7)#hard#pam shriver#chris evert wendy turnbull#6 - 0 , 7 - 5
winner#1988#french open (7)#clay#pam shriver#claudia kohde - kilsch helena suková#6 - 2 , 7 - 5
winner#1989#australian open (8)#hard#pam shriver#patty fendick jill hetherington#3 - 6 , 6 - 3 , 6 - 2
winner#1989#us open (8)#hard#hana mandlíková#mary joe fernández pam shriver#5 - 7 , 6 - 4 , 6 - 4
winner#1990#us open (9)#hard#gigi fernández#jana novotná helena suková#6 - 2 , 6 - 4
