result#opponent#type#rd. , time#date#location
result#opponent#type#rd. , time#date#location
draw#pablo navascues#decision (points)#10#4 april 2009#leganés , esp
loss#sebastian sylvester#ko#12 (12)#12 april 2008#neubrandenburg , ger
win#mariano natalio carrera#ko#6 (12)#13 november 2007#göppingen , ger
loss#felix sturm#decision (unanimous)#12#28 april 2007#oberhausen , ger
desc#mariano natalio carrera#nc#12#2 december 2006#neukoelln , ger
win#felix sturm#tko#10 (12)#15 july 2006#hamburg , ger
win#luis carmona#tko#2 (10)#3 february 2006#santa cruz de tenerife , esp
win#presente brito#decision (points)#8#4 november 2005#leganés , esp
loss#fernando vargas#decision (unanimous)#10#20 august 2005#rosemont , illinois , usa
win#enrique campos#tko#5 (8)#11 june 2004#leganés , esp
win#genaro rios#tko#3 (10)#16 april 2004#leganés , esp
win#ignacio solar#tko#2 (10)#12 september 2003#leganés , esp
win#diego castillo#tko#1 (12)#9 may 2003#leganés , esp
win#roman karmazin#decision (unanimous)#12#12 july 2002#parla , esp
win#pierre moreno#tko#7 (10)#26 april 2002#barcelona , esp
win#xavier moya#tko#5 (10)#11 january 2002#barcelona , esp
loss#oscar de la hoya#decision (unanimous)#12 (12)#23 june 2001#las vegas , nevada , usa
win#javier martinez rodriguez#ko#4 (12)#21 october 2000#salon 21 (mexico city) , mex
win#tony marshall#decision (unanimous)#12#21 july 2000#leganés , esp
win#juan rondon#tko#3 (10)#14 april 2000#leganés , esp
win#mohamed boualleg#ko#8 (10)#17 march 2000#ciudad real , esp
win#michael rask#tko#7 (12)#17 december 1999#leganés , esp
win#paolo roberto#tko#7 (12)#10 september 1999#leganés , esp
win#humberto aranda#tko#4 (12)#14 may 1999#leganés , esp
win#keith mullings#decision (points)#12#29 january 1999#leganés , esp
win#cristinel acatrinei#tko#2 (8)#16 october 1998#leganés , esp
win#ahmet dottuev#tko#12 (12)#2 july 1998#corn exchange (ipswich) , uk
win#fernando jose riera#decision (points)#10#18 march 1997#valencia , esp
win#juan ramón medina#tko#8 (12)#12 july 1996#hernani , esp
win#tibor horvath#tko#4 (6)#16 may 1996#madrid , esp
win#stefan driscu#tko#2 (8)#7 march 1996#madrid , esp
loss#laurent boudouani#decision (unanimous)#12#6 january 1996#levallois - perret , fra
win#carlos rocha tomar#disqualification#6#14 july 1995#seville , esp
loss#laurent boudouani#tko#9 (12)#3 january 1995#epernay , fra
win#ludovic proto#decision (points)#6#23 july 1994#boiro , esp
win#patrick vungbo#decision (points)#12#29 may 1994#leganés , esp
win#valentino manca#ko#3 (12)#25 march 1994#córdoba , esp
win#santo colombo#tko#3 (12)#19 february 1994#madrid , esp
win#bernard razzano#rtd#6 (12)#11 january 1994#dijon , fra
win#hugo daniel sclarandi#ko#5 (12)#29 october 1993#leganés , esp
win#javier rivera#tko#4 (8)#25 june 1993#leganés , esp
loss#julio césar vásquez#decision (unanimous)#12#24 april 1993#la ermita parque sur ( leganés ) , esp
win#jesus carlos velez#decision (points)#8#26 march 1993#leganés , esp
win#enrique areco#decision (points)#12#12 december 1992#oviedo , esp
win#antonio campbell#ko#3 (8)#13 october 1992#leganés , esp
win#vasile citea#decision (points)#8#17 july 1992#leganés , esp
win#jorge andrés sclarandi#decision (unanimous)#8#19 june 1992#leganés , esp
win#saoul mamby#decision (points)#8#15 may 1992#bilbao , esp
win#harry arroyo#tko#3 (8)#10 april 1992#leganés , esp
win#edison martínez#ko#3 (8)#14 march 1992#leganés , esp
win#lindon scarlett#decision (points)#8#8 february 1992#leganés , esp
win#gejza stipak#tko#5 (8)#17 january 1992#leganés , esp
win#patrick vungbo#tko#5 (8)#6 december 1991#leganés , esp
win#domingo sánchez#tko#4 (10) , 0:51#5 july 1991#lugo , esp
win#juan rosario#tko#6 (8)#18 may 1991#madrid , esp
win#eric dindaine#decision (points)#8#21 december 1990#leganés , esp
win#alfonso redondo#tko#4 (10)#19 october 1990#leganés , esp
win#josé salinas#ko#1 (8)#17 august 1990#almería , esp
win#claudio salgado#tko#1 (6)#14 july 1990#parla , esp
win#mateo valdez#tko#2 (8)#31 may 1990#madrid , esp
win#felix rodríguez#tko#5 (8)#5 may 1990#zaragoza , esp
win#carlos tavarez#tko#2 (6)#16 february 1990#bilbao , esp
win#louie antuna#decision (points)#6#30 december 1989#santoña , esp
win#jimmy bartes#tko#2 (6)#16 november 1989#madrid , esp
loss#del bryan#decision (points)#8#19 august 1989#benidorm , esp
win#victor carvalho#decision (points)#6#29 july 1989#madrid , esp
win#juan antonio lópez#decision (points)#8#14 june 1989#madrid , esp
win#modesto villardell#tko#1 (6)#23 february 1989#madrid , esp
win#santiago vasquez#decision (points)#6#19 november 1988#irún esp
win#juan pérez#tko#1 (4)#4 november 1988#torrejón de ardoz , esp
win#angel diez#tko#4 (6)#2 september 1988#san martín de valdeiglesias , esp
win#angel diez#decision (points)#6#22 july 1988#madrid , esp
