position#jersey#name#height (cm)#weight (kg)#birthdate#birthplace#20052006 team
g#31#craig anderson#188#79#may 21 , 1981#park ridge , illinois#chicago blackhawks
g#33#jason bacashihua#180#79#september , 20 1982#dearborn heights , michigan#st louis blues
g#30#david mckee#185#82#december 5 , 1983#midland , texas#cornell ( ecac )
d#41#andrew alberts#196#104#june 30 , 1981#eden prairie , minnesota#boston bruins
d#6#joe corvo#185#93#june 20 , 1977#oak park , illinois#los angeles kings
d#25#hal gill#202#109#april , 6 1975#concord , massachusetts#boston bruins
d#55#mike komisarek#194#104#january , 19 1982#islip terrace , new york#montreal canadiens
d#34#freddy meyer#178#87#january 4 , 1981#sanbornville , new hampshire#philadelphia flyers
d#44#brooks orpik#188#99#september , 26 1980#san francisco , california#pittsburgh penguins
d#7#ryan suter#185#88#january , 21 1985#madison , wisconsin#nashville predators
lw#14#mark cullen#180#79#october 28 , 1978#moorhead , minnesota#chicago blackhawks
lw#9#andy hilbert#180#88#february 6 , 1981#howell , michigan#pittsburgh penguins
lw#12#ryan malone#193#102#december , 1 1979#pittsburgh , pennsylvania#pittsburgh penguins
lw#21#yan stastny#178#87#september 30 , 1982#quebec city , quebec , canada#providence bruins ( ahl )
c#17#ryan kesler#188#92#august , 31 1984#livonia , michigan#vancouver canucks
c#10#patrick o 'sullivan#180#86#february 1 , 1985#toronto , canada#houston aeros ( ahl )
c#11#marty reasoner#185#91#february 26 , 1977#honeoye falls , new york#boston bruins
c#16#jim slater#182#75#december , 9 1982#detroit , michigan#atlanta thrashers
c#20#r j umberger#181#91#may , 3 1982#pittsburgh , pennsylvania#philadelphia flyers
rw#23#dustin brown#187#82#november , 4 1984#ithaca , new york#los angeles kings
rw#28#adam hall#191#94#august 14 , 1980#kalamazoo , michigan#nashville predators
rw#8#phil kessel#180#82#october , 2 1987#madison , wisconsin#university of minnesota ( wcha )
rw#18#richard park#183#86#may 27 , 1976#seoul , south korea#vancouver canucks
rw#19#drew stafford#188#92#october 30 , 1985#milwaukee , wisconsin#university of north dakota ( wcha )
