week#date#opponent#result#attendance
1#september 13#kansas city chiefs#w 34 - 17#30157
2#september 20#denver broncos#w 30 - 13#28501
3#september 26#san diego chargers#w 30 - 3#40167
4#october 3#oakland raiders#w 23 - 20#36461
5#october 11#houston oilers#w 48 - 17#26218
6#october 18#kansas city chiefs#w 35 - 22#20904
7#october 24#new york jets#w 34 - 24#39621
8#november 1#houston oilers#w 24 - 10#40119
9#november 8#new york jets#w 20 - 7#61929
10#november 15#boston patriots#l 36 - 28#42308
12#november 26#san diego chargers#w 27 - 24#34865
13#december 6#oakland raiders#l 16 - 13#18134
14#december 13#denver broncos#w 30 - 19#14431
15#december 20#boston patriots#w 24 - 14#38021
