res#record#opponent#method#event#round#location
loss#27 - 19 - 1#brian foster#submission (armbar)#capital city cage wars 7#1#springfield , illinois , united states
win#27 - 18 - 1#sean salmon#ko (punches)#fight tour#1#rockford , illinois , united states
loss#26 - 18 - 1#sean huffman#dq#blueblood mma - trials of a gladiator 9#n / a#iowa , united states
win#26 - 17 - 1#evan marks#submission (rear - naked choke)#blueblood mma - trials of a gladiator 6#1#iowa , united states
loss#25 - 17 - 1#ryan ford#submission (guillotine choke)#mfc 18#2#edmonton , alberta , canada
win#25 - 16 - 1#matt kelly#tko#cfc 12 - courage fighting championships 12#1#decatur , illinois , united states
win#24 - 16 - 1#aaron smith#submission (strikes)#cfc 11 - courage fighting championships 11#1#champaign , illinois , united states
win#23 - 16 - 1#zeke shiling#submission (rear naked choke)#cfc 9 - courage fighting championships 9#1#indiana , united states
loss#22 - 16 - 1#aaron wetherspoon#submission (armbar)#kotc - sinister#1#california , united states
loss#22 - 15 - 1#chris wilson#submission (triangle choke)#sf 17 - hot zone#1#oregon , united states
win#22 - 14 - 1#victor moreno#decision (unanimous)#kotc - redemption on the river#3#illinois , united states
win#21 - 14 - 1#jamie woods#ko#cfc 4 - courage fighting championships 4#1#illinois , united states
loss#20 - 14 - 1#jake ellenberger#submission (triangle choke)#kotc - raging bull#2#ohio , united states
win#20 - 13 - 1#cruz chacon#tko#ec 65 - extreme challenge 65#1#medina , minn
win#19 - 13 - 1#jake jetter#submission (armbar)#xfo 7 - xtreme fighting organization 7#1#illinois , united states
draw#18 - 13 - 1#melvin guillard#draw#rcf - dual in the delta#3#mississippi , united states
win#18 - 13#john moore#submission (arm triangle choke)#ice 11 - ice xi#1#ohio , united states
win#17 - 13#kevin knabjan#ko#cfc 1 - courage fighting championships 1#2#illinois , united states
loss#16 - 13#buck greer#submission (triangle choke)#pxc 2 - chaos#2#guam
loss#16 - 12#jorge santiago#submission (triangle choke)#hfc 2 - hardcore fighting championships 2#1#massachusetts , united states
win#16 - 11#mac danzig#decision (unanimous)#ec 54 - extreme challenge 54#3#illinois , united states
win#15 - 11#rafal piszczek#decision (unanimous)#ec 54 - extreme challenge 54#3#illinois , united states
loss#14 - 11#chris lytle#decision (unanimous)#battleground 1 - war cry#3#illinois , united states
win#14 - 10#miguel menendez#tko#hfc 1 - hardcore fighting championships 1#2#massachusetts , united states
win#13 - 10#donald ouimet#decision (unanimous)#ucc hawaii - eruption in hawaii#3#hawaii , united states
loss#12 - 10#ryuki ueyama#tko (towel thrown)#deep - 3rd impact#1#tokyo , japan
loss#12 - 9#frank trigg#submission (strikes)#world fighting alliance 1#3#nevada , united states
loss#12 - 8#daiju takase#submission (triangle choke)#pancrase - 2001 neo - blood tournament opening round#2#tokyo , japan
win#12 - 7#earnest knight#submission (strikes)#gladiators 16 - gladiators 16#1#iowa , united states
loss#11 - 7#jutaro nakao#technical submission (triangle choke)#hooknshoot - masters#3#indiana , united states
loss#11 - 6#chatt lavender#submission (armbar)#rings usa : battle of champions#2#iowa , united states
loss#11 - 5#fabiano iha#submission (armbar)#ufc 27#1#louisiana , united states
win#11 - 4#cedric marks#submission (choke)#ec 35 - extreme challenge 35#2#iowa , united states
win#10 - 4#koji oishi#decision (majority)#ufc 25#3#yoyogi gym
win#9 - 4#john lewis#decision (unanimous)#wef 8 - goin' platinum#3#georgia , united states
win#8 - 4#john paun#tko (guillotine choke)#ec 29 - extreme challenge 29#1#wisconsin , united states
loss#7 - 4#matt hughes#submission (rear naked choke)#ec 29 - extreme challenge 29#2#wisconsin , united states
loss#7 - 3#dave menne#submission (guillotine choke)#ec 29 - extreme challenge 29#2#wisconsin , united states
win#7 - 2#cj fernandes#submission (injury)#ec 26 - extreme challenge 26#1#illinois , united states
win#6 - 2#fabiano iha#tko (cut)#ufc 20#1#alabama , united states
win#5 - 2#james julian#submission (strikes)#eb 2 - extreme boxing 2#1#iowa , united states
win#4 - 2#frank caracci#submission (strikes)#ufc 18#1#louisiana , united states
win#3 - 2#dave yoder#submission (rear naked choke)#ec 20 - extreme challenge 20#1#iowa , united states
win#2 - 2#josh stewart#tko (strikes)#ufc 16#1#louisiana , united states
loss#1 - 2#dave menne#submission (triangle choke)#ec 5 - extreme challenge 5#1#iowa , united states
loss#1 - 1#brian dunn#submission (guillotine choke)#ec 4 - extreme challenge 4#1#iowa , united states
win#1 - 0#shonie carter#ko (punches)#ec 3 - extreme challenge 3#1#iowa , united states
