player#height#position#year born#current club
miguel minhava#1 , 97#guard#1983#cb l'hospitalet
mário gil fernandes#1 , 74#guard#1982#cb plasencia
sérgio ramos#2 , 00#forward#1975#drac inca
paulo cunha#1 , 99#forward#1980#fc porto
francisco jordão#2 , 00#center#1979#1 de agosto
filipe da silva#1 , 93#guard#1979#cb villa de los barrios
joão betinho gomes#1 , 99#forward#1985#fc barreirense
jorge coelho#2 , 00#center#1978#cb palencia
paulo simão#1 , 98#forward#1976#cf belenenses
elvis évora#2 , 05#center#1978#ovarense aerosoles
miguel miranda#2 , 05#center#1978#ovarense aerosoles
joão santos#2 , 03#forward#1979#grupo capitol valladolid
