elector#nationality#cardinalatial order and title#elevated#elevator
pietro corsini#florentine#cardinal - bishop of porto e santa rufina#1370 , june 7#urban v
jean du cros#french#cardinal - bishop of palestrina#1371 , may 30#gregory xi
guillaume d'aigrefeuille , iuniore , osb#french#cardinal - priest of s stefano al monte celio#1367 , may 12#urban v
francesco tebaldeschi#roman#cardinal - priest of s sabina#1368 , september 22#urban v
bertrand lagier , ofm#french#cardinal - priest of s cecilia#1371 , may 30#gregory xi
robert de genève#french#cardinal - priest of ss xii apostoli#1371 , may 30#gregory xi
simone borsano#milanese#cardinal - priest of ss giovanni e paolo#1375 , december 20#gregory xi
hugues de montelais , le jeune#french#cardinal - priest of ss iv coronati#1375 , december 20#gregory xi
gui de maillesec#french#cardinal - priest of s croce in gerusalemme#1375 , december 20#gregory xi
pierre de sortenac#french#cardinal - priest of s lorenzo in lucina#1375 , december 20#gregory xi
gérard du puy , osb#french#cardinal - priest of s clemente#1375 , december 20#gregory xi
giacomo orsini#roman#cardinal - deacon of s giorgio in velabro#1371 , may 30#gregory xi
pierre flandrin#french#cardinal - deacon of s eustachio#1371 , may 30#gregory xi
guillaume noellet#french#cardinal - deacon of s angelo in pescheria#1371 , may 30#gregory xi
pierre de vergne#french#cardinal - deacon of s maria in via lata#1371 , may 30#gregory xi
pedro martínez de luna y gotor#aragonese#cardinal - deacon of s maria in cosmedin#1375 , december 20#gregory xi
