class#type#fleet numbers#quantity made#manufacturer#date made#date withdrawn
a#4 - 4 - 0#3 - 5 , 9 , 17 , 20 , 34 , 63 - 68#13#york road works (7) derby works (6)#1901 - 1908#1929 - 1936
b#4 - 4 - 0#24 , 59 - 62#5#beyer , peacock & co#1897 - 1898#1924 - 1932
c#2 - 4 - 0#21 , 33 , 50 - 52 , 56 - 57#7#beyer , peacock & co#1890 - 1895#1926 - 1942
d#2 - 4 - 0#50 , 55#2#beyer , peacock & co#1895#1944 - 1946
e#0 - 6 - 0#53 - 54#2#beyer , peacock & co#1892#1934 - 1944
f#2 - 4 - 0#45 - 46 , 23#3#beyer , peacock & co#1880 - 1885#1938 - 1942
g#2 - 4 - 0#6 , 8 , 10 - 11 , 22 , 27 , 29 , 40 - 41#9#sharp , stewart & co (7) beyer , peacock & co (2)#1872 - 1878#1925 - 1933
h#2 - 4 - 0#12 - 17#6#sharp , stewart & co#1856#1908 - 1924
i#2 - 4 - 0#40 - 41#2#beyer , peacock & co#1868#1924
j#2 - 4 - 0t#25 , 47 - 49#4#beyer , peacock & co#1883#1932 - 1934
k#0 - 6 - 0#7 , 28 , 30 - 32 , 38 - 39 , 43 - 44#9#sharp , stewart & co (7) beyer , peacock & co (2)#1867 - 1880#1925 - 1947
l#0 - 6 - 0#18 - 19 , 35#3#sharp , stewart & co#1857 - 1861#1925 - 1933
l1#0 - 6 - 0#36 - 37#2#beyer , peacock & co#1863#1928 - 1932
m#0 - 4 - 2#26#1#york road works#1873#1925
n#0 - 4 - 0st#42#1#sharp , stewart & co#1875#1925
o#0 - 4 - 2st#60 - 62#3#black , hawthorn & co#1874 - 1875#1911 - 1923
p#2 - 4 - 0t#63 - 64#2#beyer , peacock & co#1877 - 1878#1920 - 1928
q#0 - 6 - 0t#65 - 67#3#beyer , peacock & co#1977 - 1882#1931 - 1933
r#2 - 6 - 0st#68#1#beyer , peacock & co#1880#1934
s#2 - 4 - 2t#69 - 70#2#beyer , peacock & co#1882#1946 - 1954
