draft#pick#player#club#games#goals
1998n#10#brandon hill#west coast#0#0
1999r#2#darren bolton#fremantle#2#0
2000r#49#dale walkingshaw#fremantle#0#0
2001r#4#dean buszan#west coast#0#0
2001r#36#daniel haines#fremantle#16#4
2002n#2#daniel wells#kangaroos#164#96
2003n#4#farren ray#western bulldogs#137#46
2005r#5#ryan nye#adelaide#0#0
2005r#40#ashley thornton#west coast#0#0
2005n#20#paul bower#carlton#60#3
2005n#28#matt riggio#kangaroos#10#0
2005n#54#kristin thornton#sydney#6#3
2006n#2#scott gumbleton#essendon#22#22
2006n#38#james hawksley#brisbane lions#23#0
2006n#47#kyle reimers#essendon#47#50
2006n#52#brock o'brien#fremantle#3#1
2007r#18#danny chartres#essendon#0#0
2008n#21#hayden ballantyne#fremantle#75#111
2009n#4#anthony morabito#fremantle#23#13
2009n#25#aaron black#north melbourne#1#1
2010r#20#ben howlett#essendon#26#11
2010n#2#harley bennell#gold coast#5#3
2011p#2#blayne wilson#west coast#1#0
2011r#48#kelvin lawrence#melbourne#0#0
