#episode#air date#rating#share#18 - 49 (rating / share)#viewers (m)#weekly rank ()
1#take two#september 23 , 2010#6.2#10#3.2 / 9#9.02#tba
2#short cuts#september 30 , 2010#5.5#10#2.8 / 8#7.93#tba
3#playing god#october 7 , 2010#5.3#9#2.9 / 8#7.90#tba
4#a better place to be#october 14 , 2010#5.5#10#3.0 / 9#8.07#tba
5#in or out#october 21 , 2010#5.1#9#2.7 / 8#7.66#tba
6#all in the family#october 28 , 2010#5.4#8#2.7 / 8#7.68#tba
7#did you hear what happened to charlotte king?#november 4 , 2010#7.0#12#3.9 / 11#10.18#tba
8#what happens next#november 11 , 2010#5.7#10#2.9 / 8#8.21#tba
9#can't find my way back home#november 18 , 2010#5.5#10#2.9 / 9#8.01#tba
10#just lose it#december 2 , 2010#5.4#9#2.8 / 8#7.90#tba
11#if you don't know me by now#january 6 , 2011#tba#tba#2.7 / 8#8.17#tba
12#heaven can wait#february 3 , 2011#4.8#8#2.5 / 7#7.05#tba
13#blind love#february 10 , 2011#5.0#9#2.6 / 7#7.26#tba
14#home again#february 17 , 2011#4.8#8#2.3 / 7#6.73#tba
15#two steps back#february 24 , 2011#4.5#8#2.3 / 7#6.44#tba
16#love and lies#march 17 , 2011#4.1#7#1.9 / 6#5.97#tba
17#a step too far#march 24 , 2011#5.4#9#2.6 / 7#7.93#tba
18#the hardest part#march 31 , 2011#5.0#8#2.7 / 7#7.35#tba
19#what we have here#april 28 , 2011#4.5#7#2.2 / 6#6.68#tba
20#something old , something new#may 5 , 2011#tba#tba#2.3 / 6#6.89#tba
21#god bless the child#may 12 , 2011#tba#tba#2.3 / 6#7.27#tba
