total tenure rank#uninterrupted rank#name#state represented#total tenure time#uninterrupted time
1#1#robert byrd#west virginia#51 years , 176 days#51 years , 176 days
2#2#daniel inouye#hawaii#49 years , 349 days#49 years , 349 days
3#4#strom thurmond (i)#south carolina#47 years , 159 days#46 years , 57 days
4#3#ted kennedy#massachusetts#46 years , 292 days#46 years , 292 days
5#5#carl hayden#arizona#41 years , 305 days#41 years , 305 days
6#6#john c stennis#mississippi#41 years , 59 days#41 years , 59 days
7#7#ted stevens#alaska#40 years , 10 days#40 years , 10 days
8#8#patrick leahy#vermont#39years , 29days#39years , 29days
9#9#ernest hollings#south carolina#38 years , 55 days#38 years , 55 days
10#10#richard russell , jr#georgia#38 years , 9 days#38 years , 9 days
11#11#russell b long#louisiana#38 years , 3 days#38 years , 3 days
12#999#francis e warren (i)#wyoming#37 years , 6 days#n / a
13#12#orrin hatch#utah#37years , 29days#37years , 29days
14#999#james eastland (i)#mississippi#36 years , 83 days#n / a
15#13#warren magnuson#washington#36 years , 20 days#36 years , 20 days
16#14#joe biden#delaware#36 years , 12 days#36 years , 12 days
17#15#claiborne pell#rhode island#36 years , 0 days#36 years , 0 days
18#16#pete domenici#new mexico#36 years , 0 days#36 years , 0 days
19#17#richard lugar#indiana#36 years , 0 days#36 years , 0 days
