rider#manufacturer#laps#time / retired#grid
jorge lorenzo#aprilia#26#+ 42:54.427#1
hiroshi aoyama#ktm#26#+ 3.578#4
héctor barberá#aprilia#26#+ 7.041#3
thomas luthi#aprilia#26#+ 7.213#7
alex de angelis#aprilia#26#+ 7.664#10
shuhei aoyama#honda#26#+ 36.234#11
roberto locatelli#gilera#26#+ 36.918#14
álvaro bautista#aprilia#26#+ 36.936#6
yuki takahashi#honda#26#+ 37.142#12
julián simón#honda#26#+ 40.293#8
jules cluzel#honda#26#+ 51.720#17
aleix espargaró#aprilia#26#+ 56.620#13
ratthapark wilairot#honda#26#+ 1:00.060#16
karel abraham#aprilia#26#+ 1:01.500#20
eugene laverty#honda#26#+ 1:09.950#18
efren vazquez#aprilia#26#+ 1:10.059#21
imre toth#aprilia#25#+ 1 lap#24
omar menghi#aprilia#25#+ 1 lap#25
mika kallio#ktm#23#accident#5
andrea dovizioso#honda#19#retirement#2
alex baldolini#aprilia#19#retirement#22
dan linfoot#aprilia#17#retirement#23
dirk heidolf#aprilia#13#retirement#19
fabrizio lai#aprilia#4#retirement#15
marco simoncelli#gilera#3#retirement#9
