air date#rating#share#18 - 49#viewers (m)#viewers (m)
june 2 , 2008#3.4#6#2.0 / 6#4.73#5.36
june 9 , 2008#2.7#5#1.6 / 5#3.96#4.44
june 16 , 2008#2.7#5#1.5 / 4#3.89#4.33
june 23 , 2008#2.9#5#1.6 / 5#4.11#4.67
june 30 , 2008#2.8#5#1.6 / 5#3.94#4.32
july 14 , 2008#2.0#4#1.1 / 3#2.96#n / a
july 14 , 2008#2.3#4#1.6 / 5#3.62#n / a
july 21 , 2008#2.2#4#1.4 / 4#3.34#n / a
july 28 , 2008#2.0#3#1.2 / 3#3.05#n / a
august 4 , 2008#2.1#4#1.2 / 4#3.06#3.58
august 11 , 2008#2.0#3#1.2 / 3#2.97#3.09
