name#gp - gs#gain#loss#long#avg / g
derrick locke#7 - 5#523#28#31#70.7
randall cobb#7 - 0#283#3#61#40.0
alfonso smith#7 - 2#165#10#16#22.1
moncell allen#7 - 0#104#1#20#14.6
john conner#6 - 0#100#0#39#16.7
coshik williams#3 - 0#52#0#8#17.3
donald russell#4 - 0#46#1#12#11.2
mike hartline#5 - 0#47#20#9#5.4
will fidler#5 - 0#36#12#11#4.8
morgan newton#2 - 0#37#13#10#12.0
aj nance#7 - 0#4#0#4#0.6
maurice grinter#7 - 0#2#0#2#0.3
team#7 - 0#0#- 7#0#- 1.0
total#7#1399#95#61#186.3
opponents#7#1338#119#35#174.1
