date#visitor#score#home#leading scorer#attendance#record
2 november 2007#heat#85 - 87#pacers#danny granger (25)#12887#2 - 0
3 november 2007#pacers#121 - 111#grizzlies#mike dunleavy (27)#14878#3 - 0
7 november 2007#clippers#104 - 89#pacers#danny granger (16)#10122#3 - 1
9 november 2007#pacers#87 - 96#bobcats#jermaine o'neal (18)#12044#3 - 2
10 november 2007#nuggets#113 - 106#pacers#troy murphy (18)#12748#3 - 3
13 november 2007#celtics#101 - 86#pacers#danny granger (24)#12143#3 - 4
14 november 2007#pacers#90 - 103#wizards#marquis daniels (19)#12477#3 - 5
16 november 2007#pacers#101 - 110#raptors#two - way tie (20)#19800#3 - 6
17 november 2007#jazz#97 - 117#pacers#mike dunleavy (25)#12447#4 - 6
20 november 2007#lakers#134 - 114#pacers#shawne williams (24)#11577#4 - 7
21 november 2007#pacers#105 - 93#hornets#troy murphy (23)#11609#5 - 7
23 november 2007#mavericks#107 - 111#pacers#danny granger (25)#14002#6 - 7
25 november 2007#cavaliers#111 - 106#pacers#marquis daniels (25)#11603#6 - 8
27 november 2007#pacers#112 - 110#nuggets#mike dunleavy (30)#13274#7 - 8
28 november 2007#pacers#95 - 89#trail blazers#danny granger (23)#16168#8 - 8
30 november 2007#pacers#93 - 95#supersonics#danny granger (21)#14768#8 - 9
