week#home team#away team#overall record#divisional record
1#washington#detroit#(0 - 1)#(0 - 0)
2#detroit#green bay#(1 - 1)#(1 - 0)
3#detroit#miami#(2 - 1)#(1 - 0)
4#indianapolis#detroit#(3 - 1)#(1 - 0)
5#detroit#tampa bay#(4 - 1)#(2 - 0)
6#detroit#minnesota#(5 - 1)#(3 - 0)
7#detroit#-#(5 - 1)#(3 - 0)
8#san francisco#detroit#(5 - 2)#(3 - 0)
9#detroit#dallas#(6 - 2)#(3 - 0)
10#chicago#detroit#(6 - 3)#(3 - 1)
11#tampa bay#detroit#(6 - 4)#(3 - 2)
12#detroit#la rams#(7 - 4)#(3 - 2)
13#minnesota#detroit#(8 - 4)#(4 - 2)
14#detroit#chicago#(9 - 4)#(5 - 2)
15#detroit#ny jets#(10 - 4)#(5 - 2)
16#green bay#detroit#(11 - 4)#(6 - 2)
17#buffalo#detroit#(12 - 4)#(6 - 2)
