position#jersey#name#height (cm)#weight (kg)#birthdate#birthplace#20082009 team
g#30#scott clemmensen#191#98#july 23 , 1977#des moines , iowa#new jersey devils
g#31#robert esche#188#102#january 22 , 1978#whitesboro , new york#ska st petersburg ( khl )
g#35#al montoya#188#88#february 13 , 1985#glenview , illinois#phoenix coyotes
d#2#keith ballard#180#91#november 26 , 1982#baudette , minnesota#florida panthers
d#4#zach bogosian#191#93#july 15 , 1990#massena , new york#atlanta thrashers
d#6#ron hainsey#191#95#march 24 , 1981#bolton , connecticut#atlanta thrashers
d#7#peter harrold#180#88#june 8 , 1983#kirtland hills , ohio#los angeles kings
d#3#jack johnson#185#102#january 13 , 1987#indianapolis , indiana#los angeles kings
d#15#john - michael liles#179#84#november , 25 1980#zionsville , indiana#colorado avalanche
d#5#matt niskanen#185#86#december 6 , 1986#virginia , minnesota#dallas stars
d#20#ryan suter#185#88#january , 21 1985#madison , wisconsin#nashville predators
lw#55#jason blake#178#82#september 2 , 1973#moorhead , minnesota#toronto maple leafs
lw#17#nick foligno#183#91#october 31 , 1987#buffalo , new york#ottawa senators
lw#18#christopher higgins#183#92#june 2 , 1983#smithtown , new york#montreal canadiens
lw#49#colin stuart#188#93#july 8 , 1982#rochester , minnesota#atlanta thrashers
lw#33#colin wilson#185#98#october 20 , 1989#greenwich , connecticut#boston university ( he )
c#74#t j oshie#180#79#december 23 , 1986#mount vernon , washington#st louis blues
c#12#patrick o 'sullivan#180#86#february 1 , 1985#toronto , canada#edmonton oilers
c#8#joe pavelski#180#88#july 11 , 1984#plover , wisconsin#san jose sharks
c#22#lee stempniak#183#88#february 4 , 1983#west seneca , new york#toronto maple leafs
rw#42#david backes#188#98#may 1 , 1984#minneapolis , minnesota#st louis blues
rw#23#dustin brown#187#82#november , 4 1984#ithaca , new york#los angeles kings
rw#9#kyle okposo#185#91#april 16 , 1988#st paul , minnesota#new york islanders
rw#26#ryan shannon#175#78#march 2 , 1983#darien , connecticut#ottawa senators
rw#21#drew stafford#188#92#october 30 , 1985#milwaukee , wisconsin#buffalo sabres
