record#date#driver#time#speed / avg speed
nascar sprint cup series#nascar sprint cup series#nascar sprint cup series#nascar sprint cup series#nascar sprint cup series
qualifying#september 14 , 2013#joey logano#28.509#-
race#july 10 , 2010#david reutimann#2:45:34#-
nascar nationwide series#nascar nationwide series#nascar nationwide series#nascar nationwide series#nascar nationwide series
qualifying#july 8 , 2005#ryan newman#28.964#-
race#july 10 , 2009#joey logano#2:02:10#-
nascar camping world truck series#nascar camping world truck series#nascar camping world truck series#nascar camping world truck series#nascar camping world truck series
qualifying#july 21 , 2012#justin lofton#31.007#-
race#august 27 , 2010#kyle busch#1:44:31#-
izod indycar series#izod indycar series#izod indycar series#izod indycar series#izod indycar series
qualifying#september 6 , 2003#richie hearn#24.521#-
race#september 10 , 2006#dan wheldon#1:33:37#-
