club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
pontypool rfc#22#2#2#648#274#81#32#12#1#89
caerphilly rfc#22#2#4#482#316#56#37#7#3#78
blackwood rfc#22#2#6#512#378#60#42#8#3#71
bargoed rfc#22#0#8#538#449#72#52#10#4#70
uwic rfc#22#2#7#554#408#71#50#6#2#64
llanharan rfc#22#1#12#436#442#44#51#1#7#46
newbridge rfc#22#2#11#355#400#36#47#2#3#45
rumney rfc#22#2#12#435#446#56#52#5#3#44
newport saracens rfc#22#0#14#344#499#45#64#2#3#37
beddau rfc#22#0#15#310#483#32#61#2#4#34
fleur de lys rfc#22#1#16#300#617#34#77#2#4#28
llantrisant rfc#22#0#18#402#592#55#77#4#6#26
