date of release#title#billboard peak#riaa cert#label
august 13 , 1973#(pronounced 'lĕh - 'nérd 'skin - 'nérd)#27#2 platinum#mca
april 15 , 1974#second helping#12#2 platinum#mca
march 24 , 1975#nuthin' fancy#9#platinum#mca
february 2 , 1976#gimme back my bullets#20#gold#mca
october 17 , 1977#street survivors#5#2 platinum#mca
june 11 , 1991#lynyrd skynyrd 1991#64#-#atlantic
february 16 , 1993#the last rebel#64#-#atlantic
august 9 , 1994#endangered species#-#-#capricorn
april 29 , 1997#twenty#97#-#cmc
august 10 , 1999#edge of forever#96#-#cmc
september 12 , 2000#christmas time again#38#-#sanctuary
may 20 , 2003#vicious cycle#30#-#sanctuary
september 29 , 2009#god & guns#18#-#roadrunner
august 21 , 2012#last of a dyin' breed#14#-#roadrunner
