rank#athlete#country#distance (metres)#points#adjusted points
1#paavo yrjölä#finland#42.09#881.44#707
2#james stewart#united states#40.90#836.22#683
3#antoni cejzik#poland#39.43#780.36#653
4#ken doherty#united states#38.72#753.38#639
5#tom churchill#united states#38.19#733.24#628
6#hermann lemperle#germany#36.99#687.64#604
7#akilles järvinen#finland#36.95#686.12#604
8#helge jansson#sweden#36.83#681.56#600
9#albert andersson#sweden#36.64#674.34#597
10#mátyás farkas#hungary#35.83#643.56#580
11#henry lindblad#sweden#35.53#632.16#574
12#ludwig vesely#austria#35.46#629.50#573
13#johan meimer#estonia#35.32#624.18#570
14#sven lundgren#sweden#35.04#613.54#564
15#hugo barth#germany#34.89#607.84#561
16#tatsuo toki#japan#34.01#574.40#544
17#adolf meier#switzerland#33.43#552.36#532
18#erwin huber#germany#33.07#538.68#525
19#martti tolamo#finland#32.88#531.46#521
20#howard ford#great britain#32.82#529.18#520
21#barney berlinger#united states#32.51#517.40#514
22#branko kallay#yugoslavia#32.24#507.14#509
23#con o'callaghan#ireland#31.69#486.24#498
24#ion haidu#romania#31.59#482.44#496
25#yonetaro nakazawa#japan#31.43#476.36#493
26#stelios benardis#greece#31.41#475.60#492
27#wilhelm ladewig#germany#30.74#450.14#479
28#gaston médécin#monaco#30.71#449.00#478
29#gérard noël#belgium#30.50#441.02#474
30#gaston étienne#belgium#29.81#414.80#461
31#johannes viljoen#south africa#28.95#382.12#444
32#rené joannes - powell#belgium#26.73#297.76#401
