name#feature#latitude#longitude#distance#bearing
aagaard islands#island#65°51.0 's#53°40.0'e#93.4 km#346°
armstrong peak#peak#66°24.0 's#53°23.0'e#45.1 km#311°
bandy nunataks#nunatak#66°55.0 's#53°36.0'e#36.8 km#221°
bird ridge#ridge#66°47.0 's#55°04.0'e#42.3 km#108°
bratthø#peak#66°39.0 's#54°40.0'e#22.8 km#086°
cape batterbee#cape#65°51.0 's#53°48.0'e#92.2 km#350°
conradi peak#peak#66°08.0 's#54°35.0'e#62.4 km#018°
doyle point#point#65°53.0 's#54°52.0'e#92.8 km#021°
grimsley peaks#peak#66°34.0 's#53°40.0'e#24.1 km#297°
knausen#peak#66°22.0 's#53°13.0'e#53.1 km#308°
mjåkollen#peak#66°33.0 's#53°28.0'e#32.8 km#293°
mount bennett#mountain#66°32.0 's#53°38.0'e#27.2 km#303°
mount breckinridge#mountain#66°37.0 's#53°41.0'e#21.3 km#285°
mount bride#mountain#66°26.0 's#53°57.0'e#27.4 km#341°
mount gate#mountain#66°51.0 's#53°18.0'e#42.5 km#241°
mount griffiths#mountain#66°28.0 's#54°01.0'e#23.0 km#345°
mount maines#mountain#66°38.0 's#53°54.0'e#11.6 km#288°
mount pasco#mountain#66°59.0 's#54°44.0'e#43.5 km#144°
mount stadler#mountain#66°54.0 's#53°14.0'e#47.8 km#237°
napier mountains#mountain#66°30.0 's#53°40.0'e#28.3 km#311°
newman nunataks#nunatak#66°40.0 's#54°45.0'e#26.4 km#090°
proclamation island#island#65°51.0 's#53°41.0'e#93.2 km#347°
rabben#peak#66°27.0 's#54°07.0'e#24.1 km#356°
skarvet nunatak#nunatak#66°26.0 's#53°45.0'e#31.4 km#326°
sørtoppen nunatak#nunatak#66°40.0 's#53°28.0'e#30.1 km#270°
tippet nunataks#nunatak#66°44.0 's#53°15.0'e#40.3 km#259°
vicars island#island#65°50.0 's#54°29.0'e#93.9 km#009°
wheeler rocks#rock#66°17.0 's#55°08.0'e#61.0 km#046°
wilkinson peaks#peak#66°37.0 's#54°15.0'e#7.1 km#038°
young nunataks#nunatak#66°44.0 's#54°08.0'e#7.4 km#186°
