game#november#opponent#score#decision#record
12#1#washington capitals#2 - 0#lundqvist#5 - 6 - 1
13#3#new jersey devils#2 - 1 so#lundqvist#6 - 6 - 1
14#5#philadelphia flyers#2 - 0#lundqvist#7 - 6 - 1
15#6#new york islanders#3 - 2#lundqvist#7 - 7 - 1
16#8#pittsburgh penguins#4 - 2#lundqvist#8 - 7 - 1
17#10#toronto maple leafs#3 - 2 so#valiquette#9 - 7 - 1
18#14#new jersey devils#4 - 2#lundqvist#10 - 7 - 1
19#15#philadelphia flyers#4 - 3 so#lundqvist#11 - 7 - 1
20#17#pittsburgh penguins#4 - 3 ot#lundqvist#12 - 7 - 1
21#19#new york islanders#2 - 1#lundqvist#12 - 8 - 1
22#21#tampa bay lightning#2 - 1#lundqvist#13 - 8 - 1
23#23#florida panthers#3 - 2 so#valiquette#13 - 8 - 2
24#25#dallas stars#3 - 2#lundqvist#13 - 9 - 2
25#29#new york islanders#4 - 2#lundqvist#14 - 9 - 2
