res#record#opponent#method#event#round#time#location
loss#22 - 10 (1)#rick hawn#ko (punches)#bellator 95#2#1:55#atlantic city , new jersey , united states
win#22 - 9 (1)#edward darby#submission (armbar)#gladiator challenge : heat returns#1#2:10#san jacinto , california , united states
win#21 - 9 (1)#tiger bonds#submission (armbar)#gladiator challenge : king of the mountain#1#1:03#san diego , california , united states
loss#20 - 9 (1)#john gunderson#submission (guillotine choke)#shofight 20#1#2:47#springfield , missouri , united states
win#20 - 8 (1)#thomas denny#decision (unanimous)#wmma 1 - fighting for a better world#3#5:00#el paso , texas , united states
loss#19 - 8 (1)#jordan smith#decision (split)#amazon forest combat 1#3#5:00#manaus , brazil
loss#19 - 7 (1)#ryan ford#tko (cut)#jeg - mma live 1#3#1:26#london , ontario , canada
loss#19 - 6 (1)#dennis hallman#tko (punches)#ufc 123: rampage vs machida#1#1:47#auburn hills , michigan , united states
win#19 - 5 (1)#ben mortimer#submission (rear - naked choke)#impact fc 1 - the uprising#2#4:18#brisbane , australia
nc#18 - 5 (1)#dong hyun kim#no contest#ufc 94: st - pierre vs penn 2#3#5:00#las vegas , nevada , united states
loss#18 - 5#thiago alves#tko (strikes)#ufc fight night 13#2#0:34#broomfield , colorado , united states
win#18 - 4#ryo chonan#decision (unanimous)#ufc 78: validation#3#5:00#newark , new jersey , united states
win#17 - 4#josh burkman#decision (unanimous)#ufc 71: liddell vs jackson#3#5:00#las vegas , nevada , united states
win#16 - 4#drew fickett#decision (unanimous)#ufc fight night 7#3#5:00#san diego , california , united states
loss#15 - 4#diego sanchez#decision (unanimous)#ufc fight night 6#3#5:00#las vegas , nevada , united states
win#15 - 3#nick thompson#submission (strikes)#ufc 59 - reality check#1#4:44#anaheim , california , united states
win#14 - 3#matt serra#decision (unanimous)#ufc 53: heavy hitters#3#5:00#atlantic city , new jersey , united states
win#13 - 3#chris lytle#decision (unanimous)#ufc 51: super saturday#3#5:00#las vegas , nevada , united states
win#12 - 3#nick diaz#decision (split)#ufc 49: unfinished business#3#5:00#las vegas , nevada , united states
win#11 - 3#shonie carter#decision (unanimous)#wec 10 - bragging rights#3#5:00#lemoore , california , united states
loss#10 - 3#georges st - pierre#decision (unanimous)#ufc 46: supernatural#3#5:00#las vegas , nevada , united states
win#10 - 2#dave strasser#submission (kimura)#ufc 44: undisputed#1#3:52#las vegas , nevada , united states
win#9 - 2#fernando vasconcelos#decision#king of the cage 22#3#5:00#san jacinto , california , united states
win#8 - 2#antonio mckee#decision#ultimate cage fighting 3#n / a#n / a#hollywood , california , united states
win#7 - 2#darrell smith#submission#reality submission fighting 3#1#0:59#belleville , illinois , united states
loss#6 - 2#sean sherk#tko (corner stoppage)#reality submission fighting 2#1#16:20#belleville , illinois , united states
loss#6 - 1#sean sherk#decision#reality submission fighting 1#1#18:00#belleville , illinois , united states
win#6 - 0#guido jennings#submission (choke)#kage kombat 16#1#6:33#california , united states
win#5 - 0#justin bumphus#submission#esf - empire one#n / a#n / a#corona , california , united states
win#4 - 0#scott davis#submission (armbar)#kage kombat 14#1#2:16#los angeles , california , united states
win#3 - 0#jason rittgers#submission (armbar)#kage kombat 14#1#1:58#los angeles , california , united states
win#2 - 0#zach mckinney#submission (strikes)#kage kombat 12#1#0:23#los angeles , california , united states
win#1 - 0#brian warren#submission (ankle lock)#kage kombat 12#1#0:44#los angeles , california , united states
