place#player#country#score#to par#money ( $ )
1#geoff ogilvy#australia#71 + 70 + 72 + 72 = 285#+ 5#1225000
t2#jim furyk#united states#70 + 72 + 74 + 70 = 286#+ 6#501249
t2#phil mickelson#united states#70 + 73 + 69 + 74 = 286#+ 6#501249
t2#colin montgomerie#scotland#69 + 71 + 75 + 71 = 286#+ 6#501249
5#pã¡draig harrington#ireland#73 + 69 + 74 + 71 = 287#+ 7#255642
t6#kenneth ferrie#england#71 + 70 + 71 + 76 = 288#+ 8#183255
t6#nick o'hern#australia#75 + 70 + 74 + 69 = 288#+ 8#183255
t6#vijay singh#fiji#71 + 74 + 70 + 73 = 288#+ 8#183255
t6#jeff sluman#united states#74 + 73 + 72 + 69 = 288#+ 8#183255
t6#steve stricker#united states#70 + 69 + 76 + 73 = 288#+ 8#183255
t6#mike weir#canada#71 + 74 + 71 + 72 = 288#+ 8#183255
