name#league goals#fa cup goals#fl cup goals#other goals#total#career
george brown#142#17#0#0#159#1921 - 1929
jimmy glazzard#142#12#0#0#154#1946 - 1956
andy booth#133#5#4#8#150#1991 - 1996 and 2001 - 2009
billy smith#114#12#0#0#126#1913 - 1934
les massie#100#6#2#0#108#1956 - 1966
vic metcalfe#87#3#0#0#90#1946 - 1958
alex jackson#70#19#0#0#89#1925 - 1930
jordan rhodes#73#2#6#6#87#2009 - 2012
frank mann#68#7#0#0#75#1912 - 1923
dave mangnall#61#12#0#0#73#1929 - 1934
derek stokes#65#2#2#0#69#1960 - 1965
kevin mchale#60#5#3#0#68#1956 - 1967
iwan roberts#50#4#6#8#68#1990 - 1993
ian robins#59#5#3#0#67#1978 - 1982
marcus stewart#58#2#7#0#67#1996 - 2000
mark lillis#56#4#3#0#63#1978 - 1985
charlie wilson#57#5#0#0#62#1922 - 1925
alan gowling#58#1#2#0#61#1972 - 1975
craig maskell#43#3#4#4#55#1988 - 1990
brian stanton#45#6#3#0#54#1979 - 1986
colin dobson#50#0#2#0#52#1966 - 1970
ernie islip#44#8#0#0#52#1913 - 1923
paweł abbott#48#1#2#0#51#2004 - 2007
clem stephenson#42#8#0#0#50#1921 - 1929
david cowling#43#2#3#0#48#1978 - 1987
duncan shearer#38#3#6#1#48#1986 - 1988
frank worthington#41#5#2#0#48#1967 - 1972
charlie luke#40#7#0#0#47#1931 - 1936
phil starbuck#36#4#2#5#47#1991 - 1995
jimmy lawson#42#4#0#0#46#1968 - 1976
alf lythgoe#42#4#0#0#46#1934 - 1938
george mclean#43#3#0#0#46#1930 - 1934
danny schofield#39#1#0#6#46#1998 - 2008
peter fletcher#36#4#5#0#45#1978 - 1982
sammy taylor#39#6#0#0#45#1919 - 1921
tony leighton#40#2#2#0#44#1965 - 1968
ronnie jepson#36#3#2#1#42#1993 - 1996
bob kelly#39#3#0#0#42#1927 - 1932
lee novak#34#5#2#1#42#2009 - 2013
terry gray#36#2#3#0#41#1973 - 1979
