year#entrant#chassis#engine#points
1987#osella squadra corse#osella fa1 g#alfa romeo 1.5l v8 t / c#0
1988#coloni spa#coloni fc188#cosworth dfz 3.5l v8#0
1988#coloni spa#coloni fc188b#cosworth dfz 3.5l v8#0
1989#first racing#first f189#judd ev 3.5l v8#1
1989#automobiles gonfaronnaises sportives#ags jh23b#cosworth dfr 3.5l v8#1
1989#automobiles gonfaronnaises sportives#ags jh24#cosworth dfr 3.5l v8#1
1990#automobiles gonfaronnaises sportives#ags jh24#cosworth dfr 3.5l v8#0
1990#automobiles gonfaronnaises sportives#ags jh25#cosworth dfr 3.5l v8#0
1991#automobiles gonfaronnaises sportives#ags jh25#cosworth dfr 3.5l v8#0
1991#automobiles gonfaronnaises sportives#ags jh25b#cosworth dfr 3.5l v8#0
1991#automobiles gonfaronnaises sportives#ags jh27#cosworth dfr 3.5l v8#0
1991#fondmetal f1 spa#fomet f1#cosworth dfr 3.5l v8#0
1992#fondmetal f1 spa#fondmetal gr01#ford hb 3.5l v8#0
1992#fondmetal f1 spa#fondmetal gr02#ford hb 3.5l v8#0
1995#nokia tyrrell yamaha#tyrrell 023#yamaha ox10c 3.0 v10#0
