athlete#country#run 1#run 2#run 3
martins dukurs#latvia#51.18#50.67#50.94
alexander tretiakov#russia#51.43#51.14#51.62
frank rommel#germany#51.71#51.14#51.53
sandro stielicke#germany#51.42#51.13#51.87
michi halilović#germany#51.29#51.13#51.68
kristan bromley#united kingdom#51.48#51.23#51.85
matthew antoine#united states#51.92#51.50#51.98
alexander kröckel#germany#51.79#51.57#52.13
tomass dukurs#latvia#51.75#51.45#52.25
sergey chudinov#russia#51.83#51.65#52.14
jon montgomery#canada#51.74#51.43#52.53
ben sandford#new zealand#51.99#51.63#52.42
michael douglas#canada#52.23#51.48#52.50
chris type#united kingdom#52.23#51.47#52.50
john fairbairn#canada#51.96#51.52#52.93
andy wood#united kingdom#52.24#51.57#52.66
john daly#united states#52.08#52.30#52.39
anže šetina#slovenia#52.25#52.34#52.70
hiroatsu takahashi#japan#51.83#52.17#52.89
pascal oswald#switzerland#53.63#51.78#52.25
lukas kummer#switzerland#52.50#52.30#52.88
matthias guggenberger#austria#52.48#52.61#53.07
john farrow#australia#52.42#52.53#53.34
maurizio oioli#italy#52.74#52.71#53.00
kyle tress#united states#52.97#52.47#53.02
ander mirambell#spain#52.86#52.49#53.18
yuki sasahara#japan#53.49#52.66#53.10
giovanni mulassano#italy#53.29#53.13#53.90
jakub holoubek#czech republic#54.02#53.37#53.64
emilio strapasson#brazil#54.17#54.00#53.58
dorin dumitru velicu#romania#55.13#52.55#54.20
matt skolnik#slovakia#54.08#53.36#54.57
bradley chalupski#israel#54.56#54.34#54.88
lee webster#south africa#54.69#54.76#54.72
