region#date#label#format#catalog
japan#november 7 , 2007#sony#cd#eicp - 875
europe#november 9 , 2007#columbia#cd#88697081142
europe#november 9 , 2007#columbia#cd / dvd#88697147842
australia#november 10 , 2007#epic#cd#88697081142
australia#november 10 , 2007#epic#cd / dvd#88697147842
united states#november 13 , 2007#columbia#cd#88697081142
united states#november 13 , 2007#columbia#cd / dvd#88697147842
united states#december 11 , 2007#columbia#cd / dvd / perfume#88697147862
canada#november 13 , 2007#columbia#cd#88697081142
canada#november 13 , 2007#columbia#cd / dvd#88697147842
canada#december 11 , 2007#columbia#cd / dvd / perfume#88697147862
europe#february 8 , 2008#columbia#cd / dvd / perfume#88697147862
