title#publisher#developer#release date#esrb
amped : freestyle snowboarding#microsoft game studios#snowboard#2007 - 12 - 04 december 4 , 2007#everyone
crash bandicoot : the wrath of cortex#vivendi games#traveller 's tales#2007 - 12 - 04 december 4 , 2007#everyone
crimson skies : high road to revenge#microsoft game studios#fasa studio#2007 - 12 - 04 december 4 , 2007#teen
doom 3#microsoft game studios#vicarious visions#2007 - 12 - 04 december 4 , 2007#mature
fable#microsoft game studios#lionhead studios#2007 - 12 - 04 december 4 , 2007#mature
fahrenheit / indigo prophecy#atari#quantic dream#2007 - 12 - 04 december 4 , 2007#mature
fuzion frenzy#microsoft game studios#blitz games#2007 - 12 - 04 december 4 , 2007#everyone
halo : combat evolved#microsoft game studios#bungie#2007 - 12 - 04 december 4 , 2007#mature
magatama#microsoft game studios#microsoft game studios japan#2007 - 12 - 04 december 4 , 2007#teen
psychonauts#microsoft game studios#double fine productions#2007 - 12 - 04 december 4 , 2007#teen
puyo pop fever#sega#sonic team#2007 - 12 - 04 december 4 , 2007#everyone
ty the tasmanian tiger#electronic arts#krome studios#2007 - 12 - 04 december 4 , 2007#everyone
burnout 3: takedown#electronic arts#criterion games#2008 - 01 - 14 january 14 , 2008#teen
black#electronic arts#criterion games#2008 - 2 - 11 february 11 , 2008#mature
ninja gaiden black#tecmo#team ninja#2008 - 2 - 11 february 11 , 2008#mature
sid meier 's pirates!#2k games#firaxis games#2008 - 2 - 11 february 11 , 2008#teen
dreamfall : the longest journey#aspyr media#funcom#2008 - 3 - 24 march 24 , 2008#mature
metal arms : glitch in the system#vivendi games#swingin' ape studios mass media inc#2008 - 4 - 21 april 21 , 2008#teen
tom clancy 's splinter cell : chaos theory#ubisoft#ubisoft montreal#2008 - 4 - 21 april 21 , 2008#mature
gauntlet : seven sorrows#midway games#midway games#2008 - 05 - 19 may 19 , 2008#teen
stubbs the zombie in rebel without a pulse#aspyr media#wideload#2008 - 05 - 19 may 19 , 2008#mature
guilty gear xx reload#majesco entertainment#arc system works#2008 - 05 - 19 june 16 , 2008#teen
the legend of spyro : a new beginning#sierra entertainment#krome studios#2008 - 05 - 19 june 16 , 2008#everyone 10 +
jade empire#microsoft game studios#bioware#2008 - 07 - 21 july 21 , 2008#mature
destroy all humans!#thq#pandemic studios#2008 - 09 - 15 september 15 , 2008#teen
intellivision lives!#crave entertainment#realtime associates#2008 - 09 - 15 september 15 , 2008#everyone
grand theft auto : san andreas#rockstar games#rockstar north#2008 - 10 - 20 october 20 , 2008#mature
zapper : one wicked cricket#infogrames#blitz games atomic planet entertainment#2008 - 11 - 17 november 17 , 2008#everyone
raze 's hell#majesco entertainment#artech studios#2008 - 12 - 10 december 10 , 2008#mature
sega soccer slam#sega#black box games#2008 - 12 - 10 december 10 , 2008#everyone
blowout#majesco entertainment#terminal reality#2009 - 01 - 26 january 26 , 2009#teen
grabbed by the ghoulies#microsoft game studios#rare ltd#2009 - 02 - 16 february 16 , 2009#everyone
max payne#rockstar games#neo software#2009 - 04 - 27 april 27 , 2009#mature
max payne 2: the fall of max payne#rockstar games#rockstar vienna#2009 - 04 - 27 april 27 , 2009#mature
destroy all humans! 2#thq#pandemic studios#2010 - 12 - 01 december 1 , 2010#teen
grand theft auto iii#rockstar games#rockstar games#tba december 1 , 2010#mature
