name#position#league apps#league goals#fa cup apps#fa cup goals#league cup apps#league cup goals#total apps#total goals
terry austin#fw#20 (1)#2#5#1#2 (2)#1#27 (3)#4
graham bell#mf#2#0#0#0#0#0#2#0
malcolm brown#df#46#1#6#2#4#0#56#3
david burke#df#41#1#4#0#4#0#49#1
david cowling#mf#36 (2)#8#6#1#1 (1)#0#43 (3)#9
brian cox#gk#14#0#0#0#0#0#14#0
peter fletcher#fw#22 (4)#7#4 (1)#3#3#4#29 (5)#14
keith hanvey#df#43#4#6#0#3#0#52#4
timothy hotte#fw#13 (1)#4#0#0#0#0#13 (1)#4
mick kennedy#mf#39#7#4#0#4#0#47#7
steve kindon#fw#10#3#0#0#3#1#13#4
mick laverick#mf#4#3#2#2#0#0#6#5
mark lillis#mf#42#5#6#1#4#0#52#6
bernard purdie#df#11 (4)#1#2 (2)#0#2#0#15 (6)#1
andy rankin#gk#19#0#0#0#4#0#23#0
ian robins#fw#26 (6)#7#3 (1)#1#3#1#32 (7)#9
steve smith#df#0#0#1#0#0#0#1#0
brian stanton#mf#31#3#4#0#0#0#35#3
dave sutton#df#29#0#6#0#4#0#39#0
dick taylor#gk#13#0#6#0#0#0#19#0
peter valentine#df#14#1#0#0#0#0#14#1
phil wilson#mf#31 (3)#2#1#0#4#1#36 (3)#3
