rank#team#run 1#run 2#run 3#final
gold#germany (ger) germany i#1:16.84#1:17.57#1:16.55#5:07.84
silver#united states (usa) usa i#1:17.44#1:17.78#1:16.72#5:10.48
bronze#switzerland (sui) switzerland i#1:18.67#1:18.08#1:17.40#5:11.70
4#switzerland (sui) switzerland ii#1:17.75#1:19.45#1:17.88#5:13.98
5#austria (aut) austria i#1:19.34#1:18.91#1:18.27#5:14.74
6#sweden (swe) sweden i#1:19.11#1:19.90#1:17.28#5:15.01
7#sweden (swe) sweden ii#1:18.84#1:19.93#1:18.66#5:17.86
8#argentina (arg) argentina i#1:20.15#1:19.81#1:19.35#5:18.85
9#united states (usa) usa ii#1:19.13#1:19.97#1:19.49#5:19.68
10#italy (ita) italy ii#1:20.02#1:21.39#1:18.86#5:19.62
11#france (fra) france i#1:18.90#1:19.91#1:19.18#5:20.74
12#norway (nor) norway i#1:20.05#1:19.93#1:19.98#5:21.36
13#norway (nor) norway ii#1:21.53#1:21.18#1:20.77#5:24.47
14#italy (ita) italy ii#1:21.23#1:21.35#1:21.64#5:25.98
dnf#austria (aut) austria ii#1:19.51#1:20.25#1:20.44#dnf
