res#record#opponent#method#event#round#time#location
win#16 - 5#tim means#decision (unanimous)#ufc on fox : johnson vs moraga#3#5:00#seattle , washington , united states
win#15 - 5#paul sass#decision (unanimous)#ufc on fuel tv : barao vs mcdonald#3#5:00#london , england
loss#14 - 5#michael johnson#ko (punches)#ufc on fx : browne vs bigfoot#2#1:06#minneapolis , minnesota , united states
win#14 - 4#john cholish#decision (unanimous)#ufc on fox : diaz vs miller#3#5:00#east rutherford , new jersey , united states
win#13 - 4#anthony njokuani#decision (split)#ufc 141#3#5:00#las vegas , nevada , united states
win#12 - 4#shamar bailey#tko (punches)#ufc 139#1#4:52#san jose , california , united states
loss#11 - 4#jacob volkmann#decision (unanimous)#ufc live : hardy vs lytle#3#5:00#milwaukee , wisconsin , united states
win#11 - 3#joe stevenson#decision (unanimous)#ufc live : sanchez vs kampmann#3#5:00#louisville , kentucky , united states
win#10 - 3#will kerr#ko (punches)#wec 53#1#1:25#glendale , arizona , united states
win#9 - 3#dustin poirier#decision (unanimous)#wec 50#3#5:00#las vegas , nevada , united states
loss#8 - 3#anthony pettis#ko (head kick and punches)#wec 47#1#2:17#columbus , ohio , united states
loss#8 - 2#shane roller#submission (rear - naked choke)#wec 44#3#3:32#las vegas , nevada , united states
win#8 - 1#ricardo lamas#tko (punches)#wec 42#2#4:15#las vegas , nevada , united states
win#7 - 1#phil cardella#decision (split)#wec 39#3#5:00#corpus christi , texas , united states
win#6 - 1#rafael dias#tko (punches)#wec 36#2#2:54#hollywood , florida , united states
loss#5 - 1#donald cerrone#submission (armbar)#wec 34#1#1:30#sacramento , california , united states
win#5 - 0#isaiah hill#submission (rear - naked choke)#ccfc : mayhem#1#2:46#santa rosa , california , united states
win#4 - 0#andy salazar#submission (punches)#palace fighting championship 7#1#1:02#lemoore , california , united states
win#3 - 0#noah shinable#tko (punches)#cage combat fighting championships#2#2:42#sonoma , california , united states
win#2 - 0#gigo jara#submission (rear - naked choke)#gc 73: high noon#1#3:45#sacramento , california , united states
win#1 - 0#billy terry#submission (rear - naked choke)#gc 71: lock - n - load#1#2:10#porterville , california , united states
