res#record#opponent#method#round#location
win#30 - 11 - 1#jordanas poskaitis#submission (leglock)#n / a#vilnius , lithuania
win#29 - 11 - 1#petrov kolev#submission (heel hook)#1#lithuania
loss#28 - 11 - 1#quinton jackson#submission (strikes)#1#yokohama , japan
win#28 - 10 - 1#katsuhisa fujii#submission (guillotine choke)#1#tokyo , japan
draw#27 - 10 - 1#hiromitsu kanehara#draw#3#yokohama , japan
loss#27 - 10#bobby hoffman#tko (corner stoppage)#2#tokyo , japan
win#27 - 9#borislav jeliazkov#submission (armbar)#2#yokohama , japan
win#26 - 9#kestutis smirnovas#submission (achilles lock)#1#lithuania
win#25 - 9#martin lazarev#decision (4 - 0 points)#1#ekaterinburg , russia
loss#24 - 9#tsuyoshi kohsaka#ko (punches)#2#osaka , japan
win#24 - 8#valerijus golubovskis#submission (arm lock)#n / a#lithuania
win#23 - 8#bakouri gogitidze#submission (ankle lock)#1#russia
win#22 - 8#emil kristev#submission (achilles lock)#1#tula , russia
win#21 - 8#lee hasdell#decision#3#ekaterinburg , russia
loss#20 - 8#renato sobral#submission (armbar)#3#tokyo , japan
win#20 - 7#brad kohler#submission (armbar)#1#tokyo , japan
win#19 - 7#justin mccully#technical submission (achilles lock)#1#tokyo , japan
loss#18 - 7#bakouri gogitidze#submission#1#georgia , united states
win#18 - 6#joop kasteel#submission (achilles lock)#1#japan
win#17 - 6#randy couture#submission (kimura)#1#tokyo , japan
win#16 - 6#masayuki naruse#submission#1#tokyo , japan
loss#15 - 6#kiyoshi tamura#submission#1#tokyo , japan
win#15 - 5#volk han#submission#1#fukuoka , japan
win#14 - 5#tsuyoshi kohsaka#submission#1#osaka , japan
win#13 - 5#masayuki naruse#submission (ankle lock)#1#tokyo , japan
loss#12 - 5#tsuyoshi kohsaka#submission#1#tokyo , japan
loss#12 - 4#kiyoshi tamura#submission#1#nagoya , japan
loss#12 - 3#adilson lima#submission (armbar)#1#tokyo , japan
win#12 - 2#sidney goncalves freitas#submission (chin in the eye)#1#japan
loss#11 - 2#carlos barreto#submission (rear naked choke)#2#japan
win#11 - 1#wataru sakata#submission#1#tokyo , japan
loss#10 - 1#ricardo morais#submission (rear naked choke)#1#moscow , russia
win#10 - 0#achmed sagidgusenov#submission (achilles lock)#1#moscow , russia
win#9 - 0#igor vovchanchyn#submission (chin in the eye)#1#moscow , russia
win#8 - 0#andrei besedin#submission (guillotine choke)#1#moscow , russia
win#7 - 0#zagil eribinov#submission (armbar)#1#moscow , russia
win#6 - 0#nikolai zouev#submission#1#fukuoka , japan
win#5 - 0#victor yerohin#submission (rear naked choke)#1#moscow , russia
win#4 - 0#leonid efremov#submission (achilles lock)#1#moscow , russia
win#3 - 0#vadim shevchenko#submission (achilles lock)#1#moscow , russia
win#2 - 0#maxim tarasov#submission (achilles lock)#1#moscow , russia
win#1 - 0#piotr tjernov#submission (achilles lock)#1#moscow , russia
