team#driver#laps#time#grid
south africa#adrian zaugg#12#18'01.087#1
france#loïc duval#12#+ 7.532#2
netherlands#jeroen bleekemolen#12#+ 8.097#5
mexico#salvador durán#12#+ 8.205#3
switzerland#neel jani#12#+ 8.581#4
germany#christian vietoris#12#+ 10.344#6
great britain#oliver jarvis#12#+ 10.566#10
ireland#ralph firman#12#+ 12.168#7
new zealand#jonny reid#12#+ 13.934#8
india#narain karthikeyan#12#+ 18.516#11
portugal#joão urbano#12#+ 24.967#9
italy#enrico toccacelo#12#+ 25.717#13
brazil#sérgio jimenez#12#+ 26.044#12
lebanon#chris alajajian#12#+ 34.547#18
czech republic#erik janis#12#+ 35.268#14
malaysia#alex yoong#12#+ 35.895#20
china#cong fu cheng#12#+ 36.298#15
pakistan#adam langley - khan#12#+ 36.510#16
canada#james hinchcliffe#12#+ 39.509#21
indonesia#satrio hermanto#12#+ 47.932#22
australia#ian dyk#12#+ 47.983#17
usa#buddy rice#12#+ 48.208#19
