state#type#name#title#royal house#from
cai#sovereign#wu#marquis#ji#863 bc
cai#sovereign#yi#marquis#ji#837 bc
cao#sovereign#yi#count#-#864 bc
cao#sovereign#you#count#-#835 bc
chen#sovereign#you#duke#-#854 bc
chen#sovereign#li#duke#-#831 bc
chu#sovereign#xiong yong#viscount#mi#846 bc
chu#sovereign#xiong yan the younger#viscount#mi#837 bc
jin#sovereign#xi#marquis#ji#840 bc
lu#sovereign#shen#duke#ji#854 bc
qi#sovereign#wu#duke#jiang#850 bc
qin#sovereign#qin zhong#ruler#ying#845 bc
song#sovereign#xi#duke#-#858 bc
song#sovereign#hui#duke#-#830 bc
wey#sovereign#li#marquis#-#855 bc
yan#sovereign#hui#marquis#-#864 bc
