round#pick#overall#name#position#college
1#8#8#mike micka#fb#colgate
3#7#23#earl audet#ot#southern california
5#7#39#ed doherty#rb#boston college
6#7#50#jackie fellows#rb#fresno state
7#7#61#hal fischer#g#texas
8#7#72#cliff white#ot#murray state
9#7#83#ted ogdahl#rb#willamette
10#7#94#bob sneddon#db#st mary 's (cal)
11#7#105#bill aldworth#ot#minnesota
12#7#116#bill joslyn#rb#stanford
13#7#127#charley walker#c#kentucky
14#7#138#boyd clement#c#oregon state
15#7#149#jim gaffney#qb#tennessee
16#7#160#ted ossowski#ot#oregon state
17#7#171#tom davis#rb#duke
18#7#182#john batorski#e#colgate
19#7#193#clyde ehrhardt#c#georgia
20#7#204#dave brown#e#ucla
21#7#215#bill ivy#ot#northwestern
22#7#226#bruce babcock#rb#rochester
23#7#237#bill reinhard#db#california
24#7#248#ed bauer#g#south carolina
25#7#259#smokey martin#rb#cornell
26#7#270#lee gustafson#rb#oregon state
27#7#281#nick pappas#ot#utah
28#7#292#lindsey bowen#e#rice
29#7#303#bill gustafson#ot#washington state
30#7#314#bill yablonski#c#holy cross
31#2#320#buster hollingbery#c#washington state
32#2#326#willard sheller#rb#stanford
