outcome#date#tournament#surface#partner#opponents in the final#score in the final
winner#1969#buenos aires , argentina#clay#jaime fillol#roy emerson frew mcmillan#w / o
winner#1970#south orange , us#hard#jaime fillol#andrés gimeno rod laver#3 - 6 , 7 - 6 , 7 - 6
runner - up#1971#bournemouth , england#clay#jaime fillol#bill bowrey owen davidson#6 - 8 , 2 - 6 , 6 - 3 , 6 - 4 , 3 - 6
runner - up#1971#buenos aires , argentina#clay#jaime fillol#željko franulović ilie năstase#4 - 6 , 4 - 6
winner#1972#caracas , venezuela#hard#jaime fillol#jim mcmanus manuel orantes#6 - 4 , 6 - 3 , 7 - 6
runner - up#1972#brussels , belgium#clay#jaime fillol#juan gisbert manuel orantes#7 - 9 , 3 - 6
runner - up#1972#french open , paris#clay#jaime fillol#bob hewitt frew mcmillan#3 - 6 , 6 - 8 , 6 - 3 , 1 - 6
runner - up#1972#indianapolis , us#clay#jaime fillol#bob hewitt frew mcmillan#2 - 6 , 3 - 6
runner - up#1973#buenos aires , argentina#clay#iván molina#ricardo cano guillermo vilas#6 - 7 , 3 - 6
runner - up#1974#washington dc , us#clay#jaime fillol#tom gorman marty riessen#5 - 7 , 1 - 6
runner - up#1974#us open , new york#grass#jaime fillol#robert lutz stan smith#3 - 6 , 3 - 6
runner - up#1974#buenos aires , argentina#clay#jaime fillol#manuel orantes guillermo vilas#4 - 6 , 3 - 6
winner#1975#charlotte , us#clay#jaime fillol#ismail el shafei brian fairlie#6 - 3 , 5 - 7 , 6 - 4
winner#1976#berlin , germany#hard#julien munoz#jürgen fassbender hans - jürgen pohmann#7 - 5 , 6 - 1
winner#1976#santiago , chile#clay#hans gildemeister#lito álvarez belus prajoux#6 - 3 , 7 - 6
runner - up#1977#murcia , spain#clay#hans gildemeister#patrice dominguez françois jauffret#5 - 7 , 2 - 6
winner#1977#indianapolis , us#clay#jaime fillol#dick crealy cliff letcher#6 - 7 , 6 - 4 , 6 - 3
winner#1977#santiago , chile#clay#jaime fillol#henry bunis paul mcnamee#5 - 7 , 6 - 1 , 6 - 1
