game#date#team#score#high points#high rebounds#high assists#location attendance#record
3#november 2#philadelphia#w 116 - 115 (ot)#john wall (29)#andray blatche (8)#john wall (13)#verizon center 17803#1 - 2
4#november 5#new york#l 91 - 112 (ot)#andray blatche (22)#javale mcgee (8)#john wall (7)#madison square garden 19763#1 - 3
5#november 6#cleveland#l 102 - 107 (ot)#al thornton (23)#andray blatche (15)#john wall (10)#verizon center 14442#1 - 4
6#november 10#houston#w 98 - 91 (ot)#andray blatche , al thornton (20)#andray blatche (11)#john wall (13)#verizon center 13665#2 - 4
7#november 12#charlotte#l 85 - 93 (ot)#andray blatche (22)#andray blatche (9)#john wall (11)#verizon center 14855#2 - 5
8#november 13#chicago#l 96 - 103 (ot)#gilbert arenas (30)#hilton armstrong (10)#kirk hinrich , john wall (6)#united center 21610#2 - 6
9#november 16#toronto#w 109 - 94 (ot)#andray blatche (22)#javale mcgee (9)#kirk hinrich (12)#verizon center 11513#3 - 6
10#november 17#boston#l 83 - 114 (ot)#nick young (20)#javale mcgee (10)#kirk hinrich (5)#td garden 18624#3 - 7
11#november 19#memphis#w 89 - 86 (ot)#gilbert arenas (24)#javale mcgee (12)#kirk hinrich (6)#verizon center 13504#4 - 7
12#november 21#detroit#l 110 - 115 (ot)#andray blatche , javale mcgee (20)#javale mcgee (16)#gilbert arenas (16)#the palace of auburn hills 13241#4 - 8
13#november 23#philadelphia#w 116 - 114 (ot)#john wall (25)#javale mcgee (18)#gilbert arenas (7)#verizon center 16197#5 - 8
14#november 25#atlanta#l 96 - 116 (ot)#gilbert arenas (21)#javale mcgee (10)#gilbert arenas (8)#philips arena 15042#5 - 9
15#november 27#orlando#l 99 - 100 (ot)#gilbert arenas (31)#andray blatche (13)#gilbert arenas (5)#verizon center 16435#5 - 10
