name#position#league apps#league goals#fa cup apps#fa cup goals#league cup apps#league cup goals#total apps#total goals
mike barry#mf#17#0#2#0#0#0#19#0
les chapman#mf#22#2#0#0#1#0#23#2
dennis clarke#df#31#0#2#0#0#0#33#0
terry dolan#mf#21 (2)#0#2#0#1#0#24 (2)#0
john dungworth#fw#13 (3)#1#0#0#0#0#13 (3)#1
mick fairclough#fw#14 (6)#1#2#2#1#0#17 (6)#3
paul garner#df#2#0#0#0#0#0#2#0
alan gowling#fw#42#17#2#0#1#0#45#17
bobby hoy#mf#19#1#2#0#0#0#21#1
geoff hutt#df#35#1#2#0#1#0#38#1
alan jones#df#8#0#0#0#0#0#8#0
dick krzywicki#mf#8 (1)#2#0#0#0#0#8 (1)#2
jimmy lawson#mf#22#1#2#0#1#0#25#1
dave lyon#df#20#0#1#0#1#0#22#0
brian marshall#df#3#0#0#0#0#0#3#0
grahame mcgifford#df#0 (1)#0#0#0#0#0#0 (1)#0
jimmy nicholson#mf#26#0#0#0#1#0#27#0
gary pierce#gk#13#0#0#0#1#0#14#0
terry poole#gk#22#0#2#0#0#0#24#0
graham pugh#mf#37#1#0#0#1#1#38#2
john saunders#df#20#1#1#0#0#0#21#1
dave smith#mf#18 (4)#4#2#0#1#0#21 (4)#4
paul smith#mf#0 (1)#0#0#0#0#0#0 (1)#0
steve smith#mf#29 (1)#1#0#0#0#0#29 (1)#1
phil summerill#fw#13 (3)#3#0#0#0#0#13 (3)#3
chris wood#gk#7#0#0#0#0#0#7#0
