call sign#frequency mhz#city of license#erp w#class#fcc info
k217ez#91.3#coachella , california#10#d#fcc
k217ef#91.3#desert center , california#10#d#fcc
k251ah#98.1#grand terrace , california#8#d#fcc
k242br#96.3#indio , california#10#d#fcc
k225ao#92.9#lompoc , california#5#d#fcc
k208da#89.5#los banos , california#10#d#fcc
k295ai#106.9#muscoy , california#7#d#fcc
k238bb#95.5#palm springs , california#6#d#fcc
k252ei#98.3#rialto , california#30#d#fcc
k217cq#91.3#salinas , california#10#d#fcc
k211dk#90.1#santa ana , california#10#d#fcc
k240ak#95.9#soledad , california#27#d#fcc
k219dk#91.7#victorville , california#10#d#fcc
k279be#103.7#bakersfield , california#99#d#fcc
k293bg#106.5#cambria , california#10#d#fcc
k239az#95.7#lake isabella , california#10#d#fcc
k212dl#90.3#rosamond , california#250#d#fcc
k269ew#101.7#santa maria , california#10#d#fcc
