date#visitor#score#home#leading scorer#record
2 january 2008#grizzlies#90 - 72#pacers#pau gasol (30)#9 - 22
4 january 2008#grizzlies#96 - 100#celtics#rudy gay (21)#9 - 23
6 january 2008#heat#94 - 101#grizzlies#pau gasol (28)#10 - 23
8 january 2008#lakers#117 - 101#grizzlies#mike miller (19)#10 - 24
10 january 2008#grizzlies#113 - 116#kings#rudy gay (31)#10 - 25
11 january 2008#grizzlies#104 - 116#warriors#pau gasol (43)#10 - 26
13 january 2008#grizzlies#99 - 100#lakers#mike miller (27)#10 - 27
15 january 2008#cavaliers#132 - 124#grizzlies#rudy gay (30)#10 - 28
18 january 2008#supersonics#100 - 124#grizzlies#mike miller (25)#11 - 28
19 january 2008#grizzlies#87 - 105#bobcats#pau gasol (28)#11 - 29
21 january 2008#bulls#90 - 104#grizzlies#two - way tie (24)#12 - 29
23 january 2008#magic#112 - 85#grizzlies#rudy gay (20)#12 - 30
25 january 2008#grizzlies#93 - 104#wizards#mike miller (21)#12 - 31
26 january 2008#clippers#120 - 125#grizzlies#rudy gay (34)#13 - 31
28 january 2008#mavericks#103 - 84#grizzlies#rudy gay (18)#13 - 32
30 january 2008#nuggets#106 - 102#grizzlies#rudy gay (30)#13 - 33
