outcome#date#tournament#surface#partner#opponents in the final#score in the final
runner - up#october 4 , 1987#san francisco , usa#carpet (i)#glenn layendecker#jim grabb patrick mcenroe#2 - 6 , 6 - 0 , 4 - 6
runner - up#march 6 , 1988#indian wells , usa#hard#jorge lozano#boris becker guy forget#4 - 6 , 4 - 6
runner - up#may 1 , 1988#charleston , usa#clay#jorge lozano#pieter aldrich danie visser#6 - 7 , 3 - 6
winner#may 8 , 1988#forest hills , usa#clay#jorge lozano#pieter aldrich danie visser#6 - 3 , 7 - 6
winner#may 15 , 1988#rome , italy#clay#jorge lozano#anders järryd tomáš šmíd#6 - 3 , 6 - 3
winner#july 10 , 1988#boston , usa#clay#jorge lozano#bruno orešar jaime yzaga#6 - 2 , 7 - 5
runner - up#july 24 , 1988#washington , usa#hard#jorge lozano#rick leach jim pugh#3 - 6 , 7 - 6 , 2 - 6
winner#july 31 , 1988#stratton mountain , usa#hard#jorge lozano#pieter aldrich danie visser#6 - 3 , 7 - 6
runner - up#november 27 , 1988#itaparica , brazil#hard#jorge lozano#sergio casal emilio sánchez#6 - 7 , 6 - 7
winner#april 16 , 1989#rio de janeiro , brazil#carpet (i)#jorge lozano#patrick mcenroe tim wilkison#2 - 6 , 6 - 4 , 6 - 4
winner#july 16 , 1989#gstaad , switzerland#clay#cassio motta#petr korda milan šrejber#6 - 4 , 6 - 3
winner#august 20 , 1989#montreal , canada#hard#kelly evernden#charles beckman shelby cannon#6 - 3 , 6 - 3
winner#november 12 , 1989#stockholm , sweden#carpet (i)#jorge lozano#rick leach jim pugh#6 - 3 , 5 - 7 , 6 - 3
runner - up#november 26 , 1989#itaparica , brazil#hard#jorge lozano#rick leach jim pugh#2 - 6 , 6 - 7
runner - up#july 22 , 1990#washington , usa#hard#jorge lozano#grant connell glenn michibata#3 - 6 , 7 - 6 , 2 - 6
runner - up#october 21 , 1990#vienna , austria#carpet (i)#jorge lozano#udo riglewski michael stich#4 - 6 , 4 - 6
winner#april 7 , 1991#hong kong#hard#patrick galbraith#glenn michibata robert van't hof#6 - 2 , 6 - 4
winner#may 5 , 1991#munich , germany#clay#patrick galbraith#anders järryd danie visser#7 - 5 , 6 - 4
winner#july 28 , 1991#montreal , canada#hard#patrick galbraith#grant connell glenn michibata#6 - 4 , 3 - 6 , 6 - 1
winner#march 22 , 1992#key biscayne , usa#hard#ken flach#kent kinnear sven salumaa#6 - 4 , 6 - 3
runner - up#july 19 , 1992#washington , usa#hard#ken flach#bret garnett jared palmer#2 - 6 , 3 - 6
