heat#lane#name#nationality#time
4#3#alicia coutts#australia#2:11.55
4#4#katie hoff#united states#2:11.58
3#4#natalie coughlin#united states#2:11.63
5#3#hannah miley#great britain#2:11.72
3#6#julie hjorth - hansen#denmark#2:11.99
5#4#stephanie rice#australia#2:12.07
4#5#camille muffat#france#2:12.16
5#5#kirsty coventry#zimbabwe#2:12.18
3#2#asami kitagawa#japan#2:12.47
5#6#katarzyna baranowska#poland#2:12.47
5#2#evelyn verrasztó#hungary#2:12.52
3#1#li jiaxing#china#2:12.53
3#7#julia wilkinson#canada#2:12.56
3#5#mireia belmonte garcía#spain#2:12.75
3#3#keri - anne payne#great britain#2:12.78
4#1#svetlana karpeeva#russia#2:12.94
4#8#katinka hosszú#hungary#2:13.05
5#1#helen norfolk#new zealand#2:13.50
5#7#erica morningstar#canada#2:14.11
4#6#qi hui#china#2:14.25
4#2#cylia vabre#france#2:14.34
2#7#joanna maranhão#brazil#2:14.97
2#1#sara nordenstam#norway#2:15.13
2#2#choi hye - ra#south korea#2:15.26
2#3#anja klinar#slovenia#2:15.39
2#5#jessica pengelly#south africa#2:15.80
3#8#maría peláez#spain#2:15.97
2#6#femke heemskerk#netherlands#2:16.28
2#8#siow yi ting#malaysia#2:17.11
4#7#katharina schiller#germany#2:18.00
1#6#ganna dzerkal#ukraine#2:18.25
1#2#erika stewart#colombia#2:18.54
1#3#sherry tsai#hong kong#2:18.91
5#8#sonja schöber#germany#2:20.18
1#4#erla dögg haraldsdóttir#iceland#2:20.53
1#7#lin man - hsu#chinese taipei#2:23.29
2#4#georgina bardach#argentina#2:25.74
1#1#fibriani ratna marita#indonesia#2:28.18
1#5#maroua mathlouthi#tunisia#dns
