year#driver#constructor#location#formula#report
1960#jack brabham#cooper - climax#roskilde ring#formula 2#report
1961#stirling moss#lotus - climax#roskilde ring#formula 1#report
1962#jack brabham#lotus - climax#roskilde ring#formula 1#report
1963#peter revson#cooper - bmc#roskilde ring#formula junior#report
1964#hartvig conradsen#cooper - bmc#roskilde ring#formula junior#report
1965#kurt ahrens jr#brabham - ford#roskilde ring#formula 3#report
1968#ingvar pettersson#tecno - ford#roskilde ring#formula 3#report
1973#randy lewis#brabham - ford#roskilde ring#formula 3#report
1974#jac nelleman#grd - ford#jyllandsringen#formula 3#report
1975#jac nelleman#grd - ford#jyllandsringen#formula 3#report
1976#jac nelleman#van diemen - toyota#jyllandsringen#formula 3#report
1977#jac nelleman#chevron - toyota#jyllandsringen#formula 3#report
1995#toni teittinen#reynard - mugen - honda#jyllandsringen#formula 3#report
