event#time#nationality#date#meet#location
50 m freestyle#21.67#russia#16 july 2013#2013 universiade#kazan , russia
100 m freestyle#47.62#russia#14 july 2013#2013 universiade#kazan , russia
200 m freestyle#1:44.87#russia#15 july 2013#2013 universiade#kazan , russia
400 m freestyle#3:46.72#poland#5 july 2009#2009 universiade#belgrade , serbia
800 m freestyle#7:47.24#united states#7 july 2009#2009 universiade#belgrade , serbia
1500 m freestyle#14:51.06#poland#9 july 2009#2009 universiade#belgrade , serbia
50 m backstroke#24.63#japan#8 july 2009#2009 universiade#belgrade , serbia
100 m backstroke#52.60#japan#6 july 2009#2009 universiade#belgrade , serbia
200 m backstroke#1:54.13#japan#10 july 2009#2009 universiade#belgrade , serbia
50 m breaststroke#27.14#united states#10 july 2009#2009 universiade#belgrade , serbia
100 m breaststroke#59.53#ukraine#6 july 2009#2009 universiade#belgrade , serbia
200 m breaststroke#2:08.73#ukraine#8 july 2009#2009 universiade#belgrade , serbia
50 m butterfly#23.09#kenya#5 july 2009#2009 universiade#belgrade , serbia
100 m butterfly#50.85#kenya#9 july 2009#2009 universiade#belgrade , serbia
200 m butterfly#1:54.30#poland#8 july 2009#2009 universiade#belgrade , serbia
200 m individual medley#1:57.58#united states#7 july 2009#2009 universiade#belgrade , serbia
400 m individual medley#4:12.00#united states#16 july 2013#2013 universiade#kazan , russia
4100 m freestyle relay#3:10.88#russia#10 july 2013#2013 universiade#kazan , russia
4200 m freestyle relay#7:05.49#russia#15 july 2013#2013 universiade#kazan , russia
4100 m medley relay#3:32.80#japan#11 july 2009#2009 universiade#belgrade , serbia
