name#period#matches#wins#draws#losses
burkhard ziese#september 1987 - october 1990#17#4#2#11
coaching committees from 1990 to 2000#coaching committees from 1990 to 2000#coaching committees from 1990 to 2000#coaching committees from 1990 to 2000#coaching committees from 1990 to 2000#coaching committees from 1990 to 2000
dave burns#january 2000 - march 2001#4#0#0#4
john layton#march 2001 - january 2002#6#0#1#5
joseph herel#january 2002 - march 2003#11#4#2#5
tariq lutfi#november 2003 - october 2005#5#2#1#3
salman sharida#november 2005 - august 2007#16#3#3#10
akhtar mohiuddin#september 2007 - september 2008#10#3#1#5
shahzad anwar#october 2008#1#0#0#1
george kottan#february 2009 - february 2010#6#2#3#1
tariq lutfi#march 2011 - november 2011#9#1#3#5
zaviša milosavljević#november 2011 - august 2013#12#3#4#5
shahzad anwar#september 2013#3#1#1#1
mohammad al - shamlan#september 2013 -#2#1#0#1
