game#date#opponent#result#oilers points#opponents#oilers first downs#record#attendance
1#sept 3#atlanta falcons#loss#14#20#13#0 - 1#57328
2#sept 10#kansas city chiefs#win#20#17#15#1 - 1#40213
3#sept 17#san francisco 49ers#win#20#19#23#2 - 1#46161
4#sept 24#los angeles rams#loss#6#10#10#2 - 2#45749
5#oct 1#cleveland browns#win#16#13#20#3 - 2#72776
6#oct 8#oakland raiders#loss#17#21#20#3 - 3#52550
7#oct 15#buffalo bills#win#17#10#17#4 - 3#47727
8#oct 23#pittsburgh steelers#win#24#17#22#5 - 3#48021
9#oct 29#cincinnati bengals#loss#13#28#15#5 - 4#50532
10#nov 5#cleveland browns#win#14#10#18#6 - 4#45827
11#nov 12#new england patriots#win#26#23#24#7 - 4#60356
12#nov 20#miami dolphins#win#35#30#23#8 - 4#50290
13#nov 26#cincinnati bengals#win#17#10#17#9 - 4#43245
14#dec 3#pittsburgh steelers#loss#3#13#9#9 - 5#54261
15#dec 10#new orleans saints#win#17#12#16#10 - 5#63169
