date#opponent#home / away#field#result
may 29#cannons#home#villanova stadium#l 12 - 13
june 4#lizards#home#villanova stadium#l 14 - 19
june 12#bayhawks#away#johnny unitas stadium#l 9 - 31
june 18#pride#away#alumni stadium (kean university)#w 11 - 10
june 25#lizards#away#mitchel athletic complex#l 12 - 18
june 30#cannons#away#nickerson field#w 15 - 14
july 9#rattlers#away#bishop kearney field#w 26 - 15
july 14#rattlers#home#villanova stadium#l 10 - 14
july 23#cannons#away#nickerson field#l 10 - 11
july 28#lizards#home#villanova stadium#w 16 - 14
august 4#bayhawks#home#villanova stadium#l 9 - 19
august 11#pride#home#villanova stadium#l 12 - 16
