series#season#title#directed by#written by#original air date#total viewers (in millions)
45#1#the day after#michael lange#patrick sean smith#august 31 , 2009#1.211
46#2#our fathers#patrick norris#jessica otoole & amy rardin#september 7 , 2009#1.313
47#3#the half - naked gun#michael lange#roger grant#september 14 , 2009#n / a
48#4#high and dry#shawn piller#casey johnson#september 21 , 2009#n / a
49#5#down on your luck#michael lange#matt whitney#september 28 , 2009#n / a
50#6#lost and founders#fred gerber#michael berns#october 5 , 2009#n / a
51#7#the dork knight#rick rosenthal#adam milch#october 12 , 2009#n / a
52#8#fight the power#michael lange#jessica otoole & amy rardin#october 19 , 2009#n / a
53#9#the wish - pretzel#melanie mayron#lana cho & matt whitney#october 26 , 2009#n / a
54#10#friend or foe#michael lange#roger grant#november 2 , 2009#n / a
55#11#i know what you did last semester#michael lange#casey johnson & david windsor#january 25 , 2010#n / a
56#12#pride & punishment#john t kretchmer#jessica otoole & amy rardin#february 1 , 2010#n / a
57#13#take me out#lee rose#matt whitney#february 8 , 2010#n / a
58#14#the tortoise and the hair#michael lange#rob bragin#february 15 , 2010#n / a
59#15#love , actually , possibly , maybe or not#mark rosman#roger grant#february 22 , 2010#0.872
60#16#your friends and neighbors#michael lange#dana greenblatt#march 1 , 2010#0.937
61#17#the big easy does it#fred savage#casey johnson & david windsor#march 8 , 2010#1.031
62#18#camp buy me love#michael lange#jessica otoole & amy rardin#march 15 , 2010#0.820
63#19#the first last#patrick norris#roger grant & matt whitney#march 22 , 2010#n / a
