game#date#opponent#result#giants points#opponents#record#attendance
1#sept 11#washington redskins#win#27#24#1 - 0#54160
2#sept 17#detroit lions#win#24#14#2 - 0#76021
3#sept 24#phoenix cardinals#win#35#7#3 - 0#75742
4#oct 1#dallas cowboys#win#30#13#4 - 0#51785
5#oct 8#philadelphia eagles#loss#19#21#4 - 1#65688
6#oct 15#washington redskins#win#20#17#5 - 1#76245
7#oct 22#san diego chargers#win#20#13#6 - 1#46566
8#oct 30#minnesota vikings#win#24#14#7 - 1#76041
9#nov 5#phoenix cardinals#win#20#13#8 - 1#46588
10#nov 12#los angeles rams#loss#10#31#8 - 2#65127
11#nov 19#seattle seahawks#win#15#3#9 - 2#75014
12#nov 27#san francisco 49ers#loss#24#34#9 - 3#63461
13#dec 3#philadelphia eagles#loss#17#24#9 - 4#74809
14#dec 10#denver broncos#win#14#7#10 - 4#63283
15#dec 16#dallas cowboys#win#15#0#11 - 4#72141
16#dec 24#los angeles raiders#win#34#17#12 - 4#70306
