position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#real murcia#38#52 + 14#22#8#8#66#30#+ 36
2#ce sabadell fc#38#46 + 8#15#16#7#49#30#+ 19
3#rcd mallorca#38#46 + 8#18#10#10#54#37#+ 17
4#elche cf#38#45 + 7#19#7#12#44#36#+ 8
5#cd castellón#38#45 + 7#18#9#11#61#42#+ 19
6#deportivo de la coruña#38#45 + 7#17#11#10#52#38#+ 14
7#bilbao athletic#38#44 + 6#18#8#12#53#51#+ 2
8#real oviedo#38#44 + 6#17#10#11#45#36#+ 9
9#recreativo de huelva#38#42 + 4#17#8#13#63#55#+ 8
10#sestao#38#39 + 1#16#7#15#49#45#+ 4
11#cd málaga#38#37 - 1#13#11#14#46#47#- 1
12#castilla cf#38#34 - 4#14#6#18#45#61#- 16
13#barcelona atlètic#38#34 - 4#13#8#17#41#48#- 7
14#cartagena fc#38#34 - 4#10#14#14#37#41#- 4
15#rayo vallecano#38#33 - 5#12#9#17#46#54#- 8
16#cd logroñés#38#33 - 5#10#13#15#46#44#+ 2
17#albacete bp#38#31 - 7#12#7#19#35#62#- 27
18#deportivo aragón#38#28 - 10#9#10#19#35#55#- 20
19#cd tenerife#38#26 - 12#8#10#20#43#59#- 16
20#atlético madrileño#38#22 - 16#8#6#24#27#66#- 39
