song title#artist#year#genre#single / pack name#release date#family friendly#additional rock band 3 features
fortunate son#creedence clearwater revival#1969#southern rock#single#nov20 , 2007#yes#none
juke box hero#foreigner#1981#classic rock#single#nov20 , 2007#yes#none
bang a gong#t rex#1971#glam#single#nov20 , 2007#no#none
my sharona#the knack#1979#pop - rock#single#nov20 , 2007#no#pro guitar / bass
cherry bomb#the runaways#1976#punk#single#nov20 , 2007#no#none
joker & the thief#wolfmother#2005#rock#single#nov20 , 2007#yes#none
ride the lightning#metallica#1984#metal#metallica 01#nov20 , 2007#no#none
blackened#metallica#1988#metal#metallica 01#nov20 , 2007#no#none
.and justice for all#metallica#1988#metal#metallica 01#nov20 , 2007#no#pro guitar / bass
3 's & 7 's#queens of the stone age#2007#alternative#queens of the stone age 01#nov20 , 2007#no#none
little sister#queens of the stone age#2005#alternative#queens of the stone age 01#nov20 , 2007#no#none
sick , sick , sick#queens of the stone age#2007#alternative#queens of the stone age 01#nov20 , 2007#no#none
can't stand losing you#the police#1978#pop - rock#the police 01#nov20 , 2007#no#none
synchronicity ii#the police#1983#pop - rock#the police 01#nov20 , 2007#no#none
roxanne#the police#1978#pop - rock#the police 01#nov20 , 2007#no#none
heroes#david bowie#1977#glam#david bowie 01#nov27 , 2007#yes#none
moonage daydream#david bowie#1972#glam#david bowie 01#nov27 , 2007#no#none
queen bitch#david bowie#1971#glam#david bowie 01#nov27 , 2007#no#none
nib#black sabbath#1970#metal#black sabbath 01#dec4 , 2007#no#none
sweet leaf#black sabbath#1971#metal#black sabbath 01#dec4 , 2007#no#none
war pigs#black sabbath#1970#metal#black sabbath 01#dec4 , 2007#no#none
ever fallen in love#buzzcocks#1978#punk#punk 01#dec11 , 2007#yes#none
i fought the law#the clash#1977#punk#punk 01#dec11 , 2007#yes#none
rockaway beach#ramones#1977#punk#punk 01#dec11 , 2007#yes#none
my iron lung#radiohead#1994#alternative#single#dec18 , 2007#no#none
brass in pocket#the pretenders#1980#pop - rock#single#dec18 , 2007#yes#none
buddy holly#weezer#1994#alternative#single#dec18 , 2007#yes#none
attack#30 seconds to mars#2005#emo#single#dec25 , 2007#no#none
the kill#30 seconds to mars#2005#emo#single#dec25 , 2007#yes#none
dirty little secret#all - american rejects#2005#emo#single#dec25 , 2007#yes#none
move along#all - american rejects#2005#emo#single#dec25 , 2007#yes#none
