rank#nation#gold#silver#bronze#total
1#ukraine (ukr)#2#2#0#4
2#belarus (blr)#2#1#1#4
3#hungary (hun)#2#0#0#2
4#ireland (irl)#1#0#2#3
5#bulgaria (bul)#1#0#0#1
5#france (fra)#1#0#0#1
5#sweden (swe)#0#0#0#1
5#russia (rus)#1#0#0#1
9#great britain (gbr) eng#0#2#2#4
10#azerbaijan (aze)#0#1#1#2
10#france (fra)#0#1#1#2
10#moldova (mda)#0#1#1#2
10#poland (pol)#0#1#1#2
14#croatia (cro)#0#1#0#1
15#germany (ger)#0#0#3#3
16#turkey (tur)#0#0#2#2
16#lithuania (ltu)#0#0#2#2
16#armenia (arm)#0#0#1#1
16#finland (fin)#0#0#1#1
