club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
aberavon green stars rfc#22#0#2#760#252#115#31#16#0#96
taibach rfc#22#0#5#585#339#70#49#10#1#79
vardre rfc#22#0#8#536#337#66#43#8#6#70
pyle rfc#22#0#8#469#339#69#43#8#2#66
pontardawe rfc#22#0#8#521#439#64#56#5#3#64
glyncorrwg rfc#22#0#9#446#396#64#43#8#3#63
abercrave rfc#22#0#13#445#451#58#56#6#7#49
ystradgynlais rfc#22#0#14#357#506#46#67#6#6#44
maesteg celtic rfc#22#1#13#389#524#47#66#3#4#41
porthcawl rfc#22#2#13#342#638#38#90#3#3#38
tonna rfc#22#1#18#340#645#40#92#3#5#22
resolven rfc#22#0#19#254#578#34#75#2#6#20
