name#pos#height#weight#date of birth#club
emma knox#gk#m (ft 8in)#-#1978 - 03 - 02#uwa comets
rebecca rippon#d#m (ft 5in)#-#1978 - 12 - 26#balmain tigers
nikita cuffe#cf#m (ft 10in)#-#1979 - 09 - 26#kfc breakers
naomi castle#cb#m (ft 11in)#-#1974 - 05 - 29#kfc breakers
bronwyn smith#d#m (ft 9in)#-#1974 - 07 - 03#kfc breakers
belinda brooks#cb#m (ft 9in)#-#1977 - 02 - 03#fremantle marlins
jodie stuhmcke#cf#m (ft 11in)#-#1980 - 11 - 21#kfc breakers
kate gynther#d#m (ft 9in)#-#1982 - 07 - 05#brisbane barracudas
elise norwood#d#m (ft 8in)#-#1981 - 06 - 18#sydney university lions
kelly heuchan#d#m (ft 9in)#-#1980 - 01 - 30#fremantle marlins
jemma brownlow#gk#m (ft 6in)#-#1979 - 11 - 14#balmain tigers
joanne fox#cb#m (ft 0in)#-#1979 - 06 - 12#balmain tigers
melissa rippon#d#m (ft 7in)#-#1981 - 01 - 20#brisbane barracudas
