rider#manufacturer#laps#time / retired#grid
sergio gadea#aprilia#18#38:09.44#8
joan olive#derbi#18#+ 0.932#9
stefan bradl#aprilia#18#+ 1.660#15
mike di meglio#derbi#18#+ 1.771#3
scott redding#aprilia#18#+ 1.819#4
danny webb#aprilia#18#+ 7.689#5
simone corsi#aprilia#18#+ 8.684#10
pol espargaró#derbi#18#+ 8.693#18
efren vazquez#aprilia#18#+ 9.054#19
nicolás terol#aprilia#18#+ 10.902#7
sandro cortese#aprilia#18#+ 10.945#13
gábor talmácsi#aprilia#18#+ 12.618#2
stefano bianco#aprilia#18#+ 12.709#12
andrea iannone#aprilia#18#+ 20.086#17
michael ranseder#aprilia#18#+ 23.575#22
bradley smith#aprilia#18#+ 23.890#1
dominique aegerter#derbi#18#+ 29.406#20
pablo nieto#ktm#18#+ 32.891#16
takaaki nakagami#aprilia#18#+ 33.346#23
pere tutusaus#aprilia#18#+ 33.649#26
lorenzo zanetti#ktm#18#+ 36.696#24
randy krummenacher#ktm#18#+ 36.754#25
robin lasser#aprilia#18#+ 45.317#27
esteve rabat#ktm#18#+ 56.440#11
louis rossi#honda#18#+ 1:14.502#34
raffaele de rosa#ktm#15#accident#6
dino lombardi#aprilia#11#mechanical#32
hugo van den berg#aprilia#10#accident#29
tomoyoshi koyama#ktm#8#accident#21
stevie bonsey#aprilia#5#accident#14
jules cluzel#loncin#4#accident#30
alexis masbou#loncin#1#mechanical#28
roberto lacalendola#aprilia#1#mechanical#33
robert muresan#aprilia#0#mechanical#31
